Taxonomy	normal_4	model_2	normal_2	normal_3	normal_5	betaine_1	betaine_2	betaine_3	betaine_5	model_1	model_3	model_4	model_5	betaine_4	normal_1
Alistipes	0.10679574427298	0.0355602415412633	0.0999904150292342	0.07949774753187	0.119294546151634	0.0338541167449439	0.0814722515096329	0.097613342279306	0.113601073516726	0.0630307677561583	0.0468705070449535	0.105300488833509	0.0672673248346592	0.0231189494872041	0.140745710725582
Bacteroides	0.0398734783858909	0.00762963672960797	0.0948912105818077	0.035694431131985	0.0610179238953321	0.033911626569539	0.0192082814147417	0.0215470142816064	0.015968561295888	0.00741876737275951	0.0114827949774753	0.0167353589571552	0.0224288315920636	0.0207227067957443	0.0306719064506853
Odoribacter	0.0212019553340362	0.0172529473785105	0.0158343717051663	0.0182497843381578	0.0204159877312374	0.0599827470526215	0.0298284290232915	0.0425572702003259	0.0231572893702674	0.0182114444550944	0.0245566951020799	0.0197066998945653	0.0276430556886802	0.0411003546439183	0.0209144062110611
Parabacteroides	0.0104476181347647	0.00162944503019266	0.0221221125275568	0.0147608549793923	0.0282948337007572	0.0432473880954663	0.0069011789514042	0.00816639509249497	0.0139748873765935	0.000709287836672098	0.00412153742931084	0.00251126234064986	0.00358477906642385	0.0663471676411387	0.0141665867919103
Prevotella	0.0187673727595131	0.00149525543947091	0.0187673727595131	0.0146841752132656	0.023061439662609	0.0502635866960606	0.0166011693664334	0.0100833892456628	0.0165819994249018	0.00483082526598294	0.00561679286878175	0.00753378702194958	0.0111377360299051	0.0243074858621681	0.0169653982555353
Clostridium XlVb	0.0524106201476085	0.0171570976708521	0.00417904725390588	0.00235790280839643	0.0137448480782134	0.0023003929838014	0.00360394900795553	0.00264545193137161	0.00383398830633567	0.0464487683312566	0.0299626186140132	0.00381481836480399	0.00473497555832455	0.0124412920540592	0.0226780408319755
Mucispirillum	0.0623598198025496	0.00969999041502923	0.00118853637496406	0.000613438129013707	0.00308636058660021	0.0336624173296271	0.00383398830633567	0.0104667880762964	0.00481165532445126	0.0142049266749736	0.0149525543947091	0.00147608549793923	0.00383398830633567	0.020262628198984	0.0184606536950062
Acetatifactor	0.0198792293683504	0.000824307485862168	0.0170804179047254	0.00193616409469951	0.000536758362886993	7.66797661267133e-05	0.0222371321767469	0.0103325984855746	0.00862647368925525	0.0415604332406786	0.0293875203680629	0.00653695006230231	0.0106968273746765	0.017463816735359	3.83398830633567e-05
Alloprevotella	0.00647944023770728	0.00124604619955909	0.0139940573181252	0.0389916610754337	0.0107159973162082	0.000191699415316783	0.00467746573372951	0.00945078117511742	0.00364228889101888	0.00184031438704112	0.0108501869069299	0.0170804179047254	0.0182114444550944	0.00191699415316783	0.0253043228218154
Lachnospiracea_incertae_sedis	0.02193041311224	0.00226205310073804	0.00680532924374581	0.00506086456436308	0.0136681683120866	0.0120003833988306	0.0059235119332886	0.0113294354452219	0.00193616409469951	0.0140132272596569	0.00795552573564651	0.0153551231668743	0.0117320042173871	0.0195725103038436	0.00789801591105147
