#OTU ID	normal_4	model_2	normal_2	normal_3	normal_5	betaine_1	betaine_2	betaine_3	betaine_5	model_1	model_3	model_4	model_5	betaine_4	normal_1	Taxonomy
OTU1	17.0	216.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU10	59.0	2.0	11.0	11.0	1.0	1.0	14.0	20.0	108.0	6.0	8.0	10.0	15.0	0.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes
OTU100	36.0	7.0	0.0	10.0	0.0	0.0	0.0	69.0	0.0	5.0	0.0	0.0	0.0	6.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU1000	0.0	0.0	6.0	0.0	63.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	23.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU1001	0.0	0.0	0.0	0.0	59.0	7.0	2.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	16.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU1002	2.0	0.0	5.0	0.0	71.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0	1.0	0.0	13.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU1003	2.0	0.0	30.0	0.0	21.0	6.0	13.0	1.0	9.0	1.0	17.0	10.0	18.0	0.0	13.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU1004	8.0	0.0	24.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes
OTU1005	0.0	0.0	0.0	0.0	26.0	2.0	2.0	0.0	0.0	0.0	52.0	29.0	15.0	0.0	2.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes
OTU1006	6.0	11.0	9.0	2.0	60.0	1.0	1.0	0.0	0.0	6.0	3.0	1.0	1.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU1008	6.0	4.0	2.0	0.0	52.0	0.0	0.0	0.0	4.0	1.0	1.0	1.0	0.0	2.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU1009	0.0	2.0	24.0	0.0	29.0	4.0	15.0	2.0	12.0	0.0	29.0	8.0	20.0	0.0	14.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU101	44.0	16.0	0.0	10.0	0.0	0.0	0.0	83.0	0.0	17.0	0.0	0.0	0.0	7.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU1010	2.0	0.0	23.0	1.0	20.0	3.0	15.0	3.0	13.0	1.0	12.0	11.0	10.0	0.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU1012	19.0	1.0	6.0	0.0	61.0	5.0	0.0	7.0	0.0	2.0	4.0	0.0	1.0	0.0	19.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium IV
