#OTU ID	M_GC0911_1	M_GC0912_1	M_FB0913_1	M_FB0914_1	M_BC0915_1	M_FB0915_1	M_BC0917_1	M_FB0917_1	M_BC0918_Y1	M_FB0918_Y1	M_BC0919_Y1	M_FB0919_Y1	M_FB0920_Y1	M_FB0921_Y1	M_FB0922_Y1	M_FB0923_Y1	M_FB0926_Y1	M_FB0927_Y1	Z_FB1001_1	Z_FB1002_1	Z_FB1003_1	Z_FB1005_1	Z_FB1007_1	Z_FB1008_1	Z_GC1009_Y1	Z_FB1010_Y1	Z_FB1011_Y1	Z_FB1013_Y1	Z_FB1014_Y1	D_FB1003_1	D_FB1005_1	D_FB1006_1	D_FB1007_1	D_FB1009_1	D_FB1010_Y1	D_FB1011_Y1	D_FB1013_Y1	D_FB1014_Y1	D_FB1015_Y1	D_FB1016_Y1	D_FB1018_Y1	M_GC0911_2	M_GC0912_2	M_FB0913_2	M_FB0914_2	M_BC0915_2	M_FB0915_2	M_BC0917_2	M_FB0917_2	M_BC0918_Y2	M_FB0918_Y2	M_BC0919_Y2	M_FB0919_Y2	M_FB0920_Y2	M_FB0921_Y2	M_FB0922_Y2	M_FB0923_Y2	M_FB0926_Y2	M_FB0927_Y2	Z_FB1001_2	Z_FB1002_2	Z_FB1003_2	Z_FB1005_2	Z_FB1007_2	Z_FB1008_2	Z_GC1009_Y2	Z_FB1010_Y2	Z_FB1011_Y2	Z_FB1013_Y2	Z_FB1014_Y2	D_FB1003_2	D_FB1005_2	D_FB1006_2	D_FB1007_2	D_FB1009_2	D_FB1010_Y2	D_FB1011_Y2	D_FB1013_Y2	D_FB1014_Y2	D_FB1015_Y2	D_FB1016_Y2	D_FB1018_Y2	M_GC0911_3	M_GC0912_3	M_FB0913_3	M_FB0914_3	M_BC0915_3	M_FB0915_3	M_BC0917_3	M_FB0917_3	M_BC0918_Y3	M_FB0918_Y3	M_BC0919_Y3	M_FB0919_Y3	M_FB0920_Y3	M_FB0921_Y3	M_FB0922_Y3	M_FB0923_Y3	M_FB0926_Y3	M_FB0927_Y3	Z_FB1001_3	Z_FB1002_3	Z_FB1003_3	Z_FB1005_3	Z_FB1007_3	Z_FB1008_3	Z_GC1009_Y3	Z_FB1010_Y3	Z_FB1011_Y3	Z_FB1013_Y3	Z_FB1014_Y3	D_FB1003_3	D_FB1005_3	D_FB1006_3	D_FB1007_3	D_FB1009_3	D_FB1010_Y3	D_FB1011_Y3	D_FB1013_Y3	D_FB1014_Y3	D_FB1015_Y3	D_FB1016_Y3	D_FB1018_Y3	taxonomy
OTU1	4091.0	1021.0	5898.0	14114.0	53.0	15942.0	150.0	20105.0	296.0	19073.0	90.0	14432.0	17800.0	15394.0	20174.0	19147.0	19211.0	18886.0	15561.0	12529.0	4769.0	1119.0	1137.0	7327.0	16206.0	15514.0	16229.0	19879.0	1151.0	2420.0	10294.0	12752.0	5849.0	18457.0	11140.0	4044.0	1032.0	6970.0	17815.0	8443.0	13862.0	4276.0	999.0	6045.0	14065.0	316.0	15904.0	55.0	19860.0	135.0	18866.0	78.0	14633.0	17740.0	15004.0	20197.0	19002.0	19457.0	18965.0	15579.0	13677.0	4595.0	1061.0	1032.0	7495.0	16179.0	15229.0	16443.0	19901.0	1053.0	2252.0	10030.0	12729.0	6176.0	18404.0	11017.0	4477.0	1144.0	7631.0	17993.0	9119.0	13248.0	4446.0	1089.0	6196.0	14177.0	242.0	15873.0	65.0	19963.0	97.0	19004.0	55.0	14986.0	18040.0	15016.0	20174.0	19053.0	18999.0	18891.0	15397.0	13604.0	5030.0	1434.0	1114.0	8256.0	16392.0	15413.0	16435.0	19989.0	1015.0	2325.0	10101.0	12515.0	6247.0	18350.0	11235.0	4121.0	1244.0	6751.0	17799.0	8255.0	13383.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia/Shigella
OTU100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella
OTU105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	5.0	3.0	3.0	2.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
OTU106	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	46.0	419.0	91.0	37.0	0.0	3.0	1.0	0.0	0.0	9.0	142.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	37.0	37.0	403.0	66.0	23.0	0.0	2.0	1.0	0.0	0.0	4.0	155.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	22.0	42.0	396.0	77.0	25.0	0.0	3.0	0.0	2.0	0.0	3.0	170.0	0.0	2.0	2.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella
OTU112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Sporosarcina
OTU113	4.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	18.0	0.0	4.0	62.0	8.0	26.0	66.0	19.0	13.0	1.0	0.0	3.0	19.0	0.0	0.0	0.0	0.0	110.0	42.0	13.0	25.0	28.0	5.0	368.0	6.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	7.0	58.0	2.0	18.0	46.0	15.0	16.0	4.0	0.0	3.0	24.0	0.0	0.0	0.0	1.0	92.0	42.0	33.0	21.0	39.0	7.0	298.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	21.0	1.0	6.0	107.0	7.0	47.0	70.0	11.0	7.0	2.0	0.0	3.0	24.0	0.0	0.0	0.0	1.0	84.0	34.0	13.0	24.0	18.0	3.0	331.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium XVIII
OTU114	1.0	0.0	1.0	0.0	383.0	0.0	44.0	0.0	313.0	3.0	2697.0	539.0	220.0	7.0	1.0	1.0	544.0	77.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	401.0	0.0	39.0	0.0	300.0	0.0	3028.0	458.0	238.0	5.0	0.0	2.0	467.0	68.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	410.0	2.0	32.0	0.0	301.0	5.0	2921.0	485.0	255.0	3.0	0.0	0.0	668.0	75.0	5.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas
OTU116	0.0	0.0	1.0	0.0	251.0	0.0	20.0	0.0	105.0	1.0	1801.0	8.0	49.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	206.0	0.0	19.0	0.0	68.0	0.0	1677.0	11.0	52.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	211.0	0.0	26.0	0.0	84.0	1.0	1745.0	9.0	31.0	0.0	1.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia
OTU128	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax
OTU131	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	80.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	83.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas
