gene_id	fujiabin-LncRNA-T.bam	fujiabin-LncRNA-N.bam
ENSG00000000003	0	2
ENSG00000000005	12	7
ENSG00000000419	13	13
ENSG00000000457	219	150
ENSG00000000460	528	280
ENSG00000000938	2	10
ENSG00000000971	0	0
ENSG00000001036	48	27
ENSG00000001084	4	2
ENSG00000001167	0	0
ENSG00000001460	165	4
ENSG00000001461	1	2
ENSG00000001497	18	14
ENSG00000001561	2	0
ENSG00000001617	0	1
ENSG00000001626	16	29
ENSG00000001629	0	2
ENSG00000001630	0	12
ENSG00000001631	2	2
ENSG00000002016	212	227
ENSG00000002079	11	41
ENSG00000002330	25	33
ENSG00000002549	22	23
ENSG00000002586	0	0
ENSG00000002587	75	46
ENSG00000002726	21	0
ENSG00000002745	37	9
ENSG00000002746	7	2
ENSG00000002822	0	0
ENSG00000002834	0	0
ENSG00000002919	15	7
ENSG00000002933	2	2
ENSG00000003056	149	94
ENSG00000003096	0	0
ENSG00000003137	17	0
ENSG00000003147	0	1
ENSG00000003249	13	70
ENSG00000003393	0	2
ENSG00000003400	0	0
ENSG00000003402	21	47
ENSG00000003436	29	14
ENSG00000003509	136	183
ENSG00000003756	0	0
ENSG00000003987	357	261
ENSG00000003989	0	2
ENSG00000004059	0	0
ENSG00000004139	415	299
ENSG00000004142	42	74
ENSG00000004399	8	2
ENSG00000004455	10	7
ENSG00000004468	0	90
ENSG00000004478	129	185
ENSG00000004487	310	131
ENSG00000004534	0	2
ENSG00000004660	8	2
ENSG00000004700	615	187
ENSG00000004766	0	2
ENSG00000004776	4	4
ENSG00000004777	0	0
ENSG00000004779	8	10
ENSG00000004799	1	15
ENSG00000004809	0	0
ENSG00000004838	47	6
ENSG00000004846	4	1
ENSG00000004848	4	1
ENSG00000004864	2	10
ENSG00000004866	0	2
ENSG00000004897	8	14
ENSG00000004939	2	0
ENSG00000004948	1	0
ENSG00000004961	0	11
ENSG00000004975	12	41
ENSG00000005001	2	0
ENSG00000005007	0	0
ENSG00000005020	0	0
