"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"264758_at" -2.75012750182998 9.84749297835155 -2.87474498215418 0.0130713871149072 0.999952991599668 -4.50219274505418
"266010_at" -2.71180053761936 8.75975040770822 -2.87413300917097 0.0130867152891032 0.999952991599668 -4.50222267384983
"249197_at" -2.63985503307837 7.94041267777545 -1.88234524572286 0.0824590444177697 0.999952991599668 -4.55365352783055
"261892_at" -2.59951268646543 9.40848199540762 -3.21246931422504 0.00683502409020646 0.999952991599668 -4.48623388364801
"248327_at" -2.53340900080997 8.83958360014786 -2.36392359588133 0.0343976792466174 0.999952991599668 -4.52819177908385
"247925_at" -2.47323255336998 10.2638928819375 -3.09348097016057 0.00859086783289798 0.999952991599668 -4.49172500210811
"262911_s_at" -2.40067798693579 9.31090468264873 -1.39189957364983 0.187406200703287 0.999952991599668 -4.57846349812576
"248434_at" -2.38397666412562 9.36765499901056 -1.74562049840813 0.104549727287976 0.999952991599668 -4.56079437364873
"261449_at" -2.3802328577248 7.53604685967205 -1.86636450416115 0.0848036613100709 0.999952991599668 -4.55449343114151
"252515_at" -2.37840763447865 10.0023302136445 -1.55217429028869 0.14471802500828 0.999952991599668 -4.5706444435265
"260978_at" -2.34267487665372 9.01906977228805 -1.33732435175533 0.204141119055214 0.999952991599668 -4.5810337519291
"266821_at" -2.32472662185809 7.32980490295711 -2.25099044683981 0.0424105866552194 0.999952991599668 -4.53414044870571
"254120_at" -2.32354050038863 10.4620010095522 -2.63093000159102 0.0208106387262632 0.999952991599668 -4.51437113875729
"245250_at" -2.31388816947942 10.8964606909732 -2.33199413924091 0.0365037763860591 0.999952991599668 -4.52986911389549
"266841_at" -2.30294562786168 8.4519019494646 -1.37841497870062 0.191432321729668 0.999952991599668 -4.57910336774469
"266800_at" -2.30209698712733 9.35153607677893 -2.83505183013647 0.014103195153085 0.999952991599668 -4.50414099268368
"252131_at" -2.30150736995808 8.58571201319128 -2.97522679302626 0.0107810015325962 0.999952991599668 -4.49732617676869
"259479_at" -2.29564693280236 10.2558351236852 -2.52702855992993 0.0253319921427312 0.999952991599668 -4.51969890506455
"266294_at" -2.29114318195468 8.98068773346968 -1.53712529909034 0.148339009072868 0.999952991599668 -4.57139380131461
"254256_at" -2.28900359426685 8.89425957803412 -2.19619253284743 0.0469071789391005 0.999952991599668 -4.53703987553738
"257021_at" 2.28835885754894 10.6638455145299 2.4561289827762 0.0289479315514091 0.999952991599668 -4.52337342626256
"254926_at" -2.27751015907784 10.2026196261325 -2.3597408918399 0.0346668277095022 0.999952991599668 -4.52841127413398
"260406_at" -2.26263743867552 9.52329898466316 -1.72511498656189 0.108283033889034 0.999952991599668 -4.56185479621411
"258133_at" -2.23969438050903 10.7704647213247 -2.02187494750075 0.0643602921253275 0.999952991599668 -4.54628281097234
"250296_at" -2.19829329080296 8.61479849939013 -1.2771200035487 0.223992001295696 0.999952991599668 -4.58380589267329
"247655_at" -2.19774375996187 10.6853425620763 -2.52872869127478 0.0252508748874109 0.999952991599668 -4.51961115762874
"253827_at" -2.18679629106383 9.30868185830698 -1.96716658251693 0.0709716435048165 0.999952991599668 -4.54917918101135
"254687_at" 2.18185047621589 9.43201581360498 1.87426268687629 0.0836374408914155 0.999952991599668 -4.55407846811316
"260248_at" -2.17757669882992 10.247392774827 -1.58679726363006 0.136674055629187 0.999952991599668 -4.56890995776984
"250351_at" -2.16857960700822 9.45230703137748 -1.25603865646544 0.231298281718951 0.999952991599668 -4.58475981142742
"245041_at" -2.15145136144292 10.5884793206463 -2.77211084576765 0.0159059317691824 0.999952991599668 -4.50725887310342
"248322_at" -2.11270346198421 7.45271756488133 -1.92821293119072 0.0760525093453925 0.999952991599668 -4.55123702593502
"257919_at" -2.10994595960633 9.31994579984137 -3.09882808871428 0.00850306106113266 0.999952991599668 -4.4914750744065
"249866_at" 2.07018539272769 9.42125953131792 1.88431309974836 0.0821744277330078 0.999952991599668 -4.55355002480502
"256245_at" -2.06340777473009 11.5716934484765 -1.81634167613576 0.0925370369087504 0.999952991599668 -4.55711436671283
"250801_at" 2.03922783710725 7.53127367619826 2.99118090315228 0.0104559017240291 0.999952991599668 -4.49656238096179
"260745_at" 2.03921448500179 8.40184030625902 3.65546056866775 0.00292590932922322 0.999952991599668 -4.46714505355265
"254231_at" -2.0277614891015 9.29888717140612 -2.22773469616503 0.0442668561996335 0.999952991599668 -4.53537015834187
"265723_at" -2.01969897124165 6.19438003387362 -3.18336892430983 0.0072281019000979 0.999952991599668 -4.48756305985967
"263783_at" -2.01867868558355 9.39762695256629 -2.92410369888631 0.0118917590392961 0.999952991599668 -4.49979025541705
"263150_at" -2.01851808348049 9.86030317048889 -1.39126469605656 0.187594177104084 0.999952991599668 -4.57849369294248
"265482_at" -2.00552406484164 8.62866502261058 -1.57499777791042 0.139371081950144 0.999952991599668 -4.5695026609424
"248657_at" -1.99765209357861 9.52227329135841 -1.65165812931198 0.122640710381354 0.999952991599668 -4.56562467271058
"245119_at" -1.98365389332462 9.35426176768856 -2.6518007743898 0.0200021283755249 0.999952991599668 -4.51331002497666
"247949_at" -1.98231239362772 9.29840785251096 -1.6350184815862 0.126115690958755 0.999952991599668 -4.56647168120634
"253643_at" -1.98172695863238 10.0019837965755 -2.54211227343717 0.0246210230599553 0.999952991599668 -4.51892103238485
"261648_at" -1.97692727184113 11.875822800712 -2.67133582040186 0.0192731449955104 0.999952991599668 -4.51231975739638
"256518_at" -1.9694471733784 9.01312097461873 -1.50994821766808 0.155074292966956 0.999952991599668 -4.57273970835189
"249928_at" -1.94696247646388 10.0026825594466 -2.44488456245158 0.0295652488211304 0.999952991599668 -4.52395877764072
"261021_at" -1.92966591777228 8.74251443773383 -1.74562518241345 0.104548887711781 0.999952991599668 -4.56079413105466
"263935_at" -1.92362428280503 10.1977289333696 -2.60846981418655 0.0217162451627013 0.999952991599668 -4.51551658521262
"248448_at" -1.91854346831451 9.89829969989089 -2.59082929160003 0.0224542633423759 0.999952991599668 -4.51641872555974
"253915_at" -1.90571576979158 11.3879664828804 -2.59997766773427 0.0220685376096643 0.999952991599668 -4.5159506057903
"251524_at" 1.89648005578552 8.66969975873745 1.6677180643489 0.119366417680653 0.999952991599668 -4.56480461180728
"257536_at" -1.89417979253721 9.33539266500271 -1.94260104477954 0.0741383308432282 0.999952991599668 -4.55047745522714
"258606_at" -1.88750520707469 8.04985347786029 -1.8717664452563 0.084004449834062 0.999952991599668 -4.55420964910758
"245866_s_at" -1.88483095147549 10.0517419278669 -2.53301547934911 0.0250474552031262 0.999952991599668 -4.51938998697108
"267028_at" -1.87524076644541 11.0950920285927 -2.71280032903975 0.0178107241063917 0.999952991599668 -4.51022755993041
"263931_at" -1.86482822229485 9.76159898086384 -2.88232484930279 0.0128829959160932 0.999952991599668 -4.50182233328897
"261838_at" -1.86434659503659 9.45606588192926 -1.29050509888862 0.21944963358277 0.999952991599668 -4.58319560358867
"257840_at" -1.85658018659018 8.43792698102367 -2.62621643551292 0.0209975936752944 0.999952991599668 -4.51461122631963
"266326_at" 1.85351852882525 9.39571719882506 1.9414407490657 0.0742910488314476 0.999952991599668 -4.55053873319022
"246270_at" -1.85137276380674 10.7528059049693 -2.25982448200941 0.0417249213258467 0.999952991599668 -4.53367367499426
"254241_at" -1.84608113268472 6.35008507485095 -2.05143168659918 0.061029342367135 0.999952991599668 -4.54471600517271
"254396_at" -1.8265131340076 8.37128106039571 -1.68739189542745 0.115459917997027 0.999952991599668 -4.5637967412354
"261450_s_at" -1.82062128666346 9.23023874868064 -2.14047152509576 0.0519363968720843 0.999952991599668 -4.53999324888129
"246927_s_at" -1.81828317078984 8.33046729299318 -1.84848724852631 0.0874978243933324 0.999952991599668 -4.55543159240943
"247351_at" -1.81794837486344 10.3787979443579 -2.0874001997623 0.0571912584170023 0.999952991599668 -4.54280831289197
"245038_at" -1.7933839425117 10.3775559526923 -1.5789384894575 0.138465292124334 0.999952991599668 -4.56930489339421
"262381_at" -1.79244303773236 8.56176883045368 -2.09173647180258 0.0567440018005831 0.999952991599668 -4.54257829040723
"245082_at" -1.79182026201467 9.23876466710242 -1.555783547251 0.143860932916482 0.999952991599668 -4.57046430378704
"249752_at" -1.78939617873935 8.94043319628249 -1.42620985227234 0.177476893958678 0.999952991599668 -4.57682187409168
"256093_at" -1.77960169370472 9.5985194594646 -2.19503981297399 0.0470064215653296 0.999952991599668 -4.53710093048098
"267083_at" -1.7782883017901 11.943115170361 -2.4727412192331 0.0280585497823368 0.999952991599668 -4.52250988806429
"253830_at" -1.77774935920134 9.95476336941011 -2.18760098473947 0.0476516230784799 0.999952991599668 -4.53749498691579
"258947_at" -1.7749870477405 6.71586564819794 -1.61957221664349 0.12941788810374 0.999952991599668 -4.56725542467737
"266834_s_at" -1.76241145476494 8.29607725410096 -3.06911738054398 0.00900253340525744 0.999952991599668 -4.49286748004353
"251507_at" -1.75342562069991 9.23118572297124 -1.97647980146946 0.0698038421916102 0.999952991599668 -4.54868656627729
"256159_at" -1.74940052837419 7.23609933407729 -2.16300919230876 0.0498442398751687 0.999952991599668 -4.53879824928762
"255064_at" -1.74213167157195 10.3916659869514 -3.65733901102448 0.00291545717482181 0.999952991599668 -4.46706876932243
"248844_s_at" 1.74111588981544 9.99529618022234 1.93178537909951 0.0755730721925485 0.999952991599668 -4.55104849302445
"249459_at" -1.73480307861249 9.35377739368113 -2.5116972999345 0.0260749433916189 0.999952991599668 -4.52049098495665
"261564_at" -1.73296374677016 9.30053346499771 -2.23911759629322 0.0433488960327575 0.999952991599668 -4.53476809793804
"253046_at" -1.72374699495643 8.55627706589323 -1.24442058758569 0.235405088121888 0.999952991599668 -4.58528163303924
"256576_at" -1.72347005270704 8.2214203827431 -1.50471195623073 0.156401432566544 0.999952991599668 -4.57299790187281
"253485_at" -1.71863088061871 8.42474122598028 -2.95245060907386 0.0112625592961354 0.999952991599668 -4.49842086443008
"261453_at" -1.71387972629256 9.16458396114651 -1.77818630378098 0.0988553551803524 0.999952991599668 -4.55910391656129
"246018_at" -1.70535081178097 9.73883658485766 -1.75812310447378 0.102329932643839 0.999952991599668 -4.56014626489156
"247215_at" -1.70101705755989 8.8844491150409 -2.20309977501861 0.0463166193190503 0.999952991599668 -4.53667407393232
"245757_at" -1.68183953628669 8.20084785676276 -2.32302257741926 0.0371173033196196 0.999952991599668 -4.53034111791703
"245976_at" -1.67487553183605 8.87168330675458 -1.85798712287658 0.0860566894632056 0.999952991599668 -4.55493325222214
"245193_at" -1.65731724209376 9.72356427746349 -1.7626241444215 0.101541109554601 0.999952991599668 -4.55991266467296
"251336_at" -1.65717239813281 8.46540150619168 -1.87668785117082 0.0832822727175046 0.999952991599668 -4.55395099549598
"254042_at" -1.65535695947362 8.78611405980766 -2.66089297905019 0.0196595532303214 0.999952991599668 -4.51284876691844
"263182_at" -1.65392105428613 10.4100994028292 -2.03438638636694 0.0629303060696702 0.999952991599668 -4.54561970423282
"248332_at" -1.6538054633418 10.4923393970081 -1.41870555762926 0.179610411155881 0.999952991599668 -4.57718255047251
"253284_at" -1.65314835108876 10.9378365155383 -3.02874023760799 0.00972847702256488 0.999952991599668 -4.49477414405287
"259037_at" -1.65305998890171 10.5233630300682 -1.37972579263697 0.191037849455998 0.999952991599668 -4.57904130232079
"246652_at" 1.64818344751595 7.62167755632306 2.79754352614493 0.0151517404845982 0.999952991599668 -4.50599489254305
"245711_at" -1.64743969836251 11.3200992489488 -2.13456793144148 0.0524978425307105 0.999952991599668 -4.54030634024228
"266037_at" -1.64689758156549 9.7006814989225 -2.94392727761683 0.0114481984634922 0.999952991599668 -4.49883180556442
"261899_at" -1.64035790355297 9.49506441479107 -1.73822787834301 0.105882285913329 0.999952991599668 -4.5611770472654
