sample	Rh_RN1	Rh_RN2	Rh_RN3	Rh_RP1	Rh_RP2	Rh_RK1	Rh_RK2	Rh_RCK	Bk_RN1	Bk_RN2	Bk_RN3	Bk_RP1	Bk_RP2	Bk_RK1	Bk_RK2	Bk_RCK
aac	0	1.802808857	2.352822857	0	0	0	0	0	0	0	1.863918857	1.995828857	0	0	1.884543857	0
aac(6')I1	2.120856857	0	2.130411857	2.062278857	0	1.992465857	1.864176857	0	0	0	1.960407857	0	0	0	0	0
aac(6')-Ib(aka aacA4)-02	2.830644857	1.932933857	2.518326857	2.409150857	2.236341857	2.669238857	2.583120857	0	0	2.176371857	2.029887857	0	0	0	0	0
aac(6')-Ib(aka aacA4)-03	0	0	2.280450857	2.159781857	0	2.100894857	0	0	0	0	0	0	0	1.779678857	0	0
aac(6')-II	2.407377857	2.438097857	2.379567857	2.563557857	2.560113857	2.226339857	2.552694857	2.112234857	1.821666857	2.614977857	2.536767857	2.615046857	2.509251857	2.140911857	2.629986857	1.946328857
aacA/aphD	0	0	0	2.466984857	0	0	0	0	0	0	0	0	0	0	0	0
aacC	4.064973857	0	4.108050857	3.853197857	3.917307857	3.798504857	3.829059857	3.532734857	0	3.850728857	0	0	3.509478857	3.457149857	3.705318857	0
aacC1	2.140359857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aacC2	0	2.374299857	2.605842857	0	0	0	0	0	2.444454857	0	0	0	0	2.369610857	0	0
aacC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.375348857
aadA-01	2.728011857	0	0	2.889630857	2.622750857	2.606088857	2.389740857	2.801841857	2.669295857	0	3.125676857	0	2.261355857	0	2.917455857	2.496861857
aadA-02	3.258261857	2.841009857	0	0	0	0	0	2.585679857	2.994915857	0	3.096501857	0	0	0	0	0
aadA1	3.087759857	3.009750857	2.901618857	0	2.871576857	0	0	0	3.047811857	0	3.324762857	2.965134857	2.881506857	0	2.884713857	2.736798857
aadA-1-01	0	2.361393857	1.957266857	0	0	0	0	0	2.202672857	0	2.366517857	0	2.132886857	0	0	0
aadA-1-02	0	0	2.779266857	2.709636857	2.577534857	0	0	0	2.671422857	0	2.887008857	0	0	2.360532857	0	0
aadA2-01	0	3.057978857	0	0	0	0	0	2.523666857	2.477406857	0	3.361980857	0	2.686872857	0	0	0
aadA2-02	2.669295857	0	0	0	2.583447857	0	2.371800857	0	2.798265857	2.667576857	2.728971857	2.295897857	2.995731857	2.489595857	2.514933857	0
aadA2-03	0	0	0	0	0	0	2.856399857	0	0	2.961900857	3.372183857	0	2.965044857	2.763420857	0	0
aadA5-01	0	0	1.950519857	0	0	2.162604857	1.977987857	0	0	0	1.905147857	0	0	1.811481857	0	0
