Name	Control_P0_1	Control_P0_2	Control_P0_3	Heat_P0_1	Heat_P0_2	Heat_P0_3	Fc
hst-3.2	0.402562647	0.353482502	0.379444855	0.090546809	0.26819813	0.054363981	2.748645573
W08F4.11	0.408745151	0	0.068225307	0	0.231469519	0	2.060484034
C15C8.8	0.184389479	0.366993389	0.430880714	0.117509637	0.104418472	0	4.425844603
gsk-3	33.90632987	27.77093568	21.17521806	14.32452189	12.83656833	11.61052887	2.136936387
oac-26	0	0.010074855	0	0	0	0	336.4951667
F21D9.1	0	0.018698712	0	0	0	0	623.9570667
C53C9.5	0	0.26809582	0	0	0	0	8937.194
F20G2.9	0.616916473	0.920894192	0.463374108	0.09828873	0.174677741	0.177036607	4.447046856
Y39A1A.10	0	0.115649177	0	0	0	0	3855.639233
T05A7.7	0.80715239	1.63326338	1.13169059	0.411512348	0.63991865	0.308838179	2.626029039
hlh-12	0.549505071	0.865837052	1.834402281	0.233462855	0.259317397	0.683330038	2.763128961
Y38E10A.8	0.16690427	0.213552188	0.015919238	0	0	0.027369452	14.47183741
ZC196.8	0.025421344	0	0	0	0	0	848.0448
F25B3.2	0.411583659	0.307193127	0.20609728	0.157378978	0.163153862	0.11811222	2.108479384
ncx-10	0.033969132	0.101413976	0.090718803	0.028864267	0.012824321	0.025995004	3.340571981
pde-5	0.018970111	0.00943913	0.012665512	0	0	0	1369.158433
T26A8.3	0	0.048802312	0.065483391	0	0	0	3809.856767
fbxa-165	0.016006031	0	0	0	0	0	534.2010333
Y18H1A.8	2.354359532	1.773050882	0.424838565	0.811032772	1.297223346	0.146082354	2.01932808
F38B6.4	2.104137116	1.797835185	1.461601367	0.442467128	0.92275545	0.504203642	2.869101551
irld-26	0	0.019061291	0	0	0	0	636.0430333
clec-194	0.066486591	0.154384238	0.13317055	0.056495018	0.050201188	0	3.317908042
E02C12.6	0.477437045	0.278521768	0.197853389	0.062951591	0.223753868	0.018897955	3.121078359
nhr-55	11.71415515	11.04218344	12.61140778	6.241835434	6.817911983	3.13750523	2.18356453
Y105E8A.47	0	0.140431144	0	0	0	0	4681.7048
