Name	Control_P0_1	Control_P0_2	Control_P0_3	Heat_P0_1	Heat_P0_2	Heat_P0_3	log2Fold_change	qvalue
F17H10.t1	0	0	0	0	0	0	NA	NA
oac-43	0	0	0	0.026706736	0	0.036077915	Inf	0.483932392
Y75B7AL.9	0	0	0	0	0	0	NA	NA
npp-11	30.59241081	30.82846916	30.84974552	29.07488759	28.76042276	37.41091743	0.155672037	0.994395943
tost-1	26.06274371	43.69274438	60.4997845	39.50542523	30.72312728	55.67099742	0.056825083	1
F11A6.11	0	0	0	0	0	0	NA	NA
F36G9.15	2.51440199	1.376225209	1.552849325	1.201803108	1.423888252	0.649402462	-0.620104102	0.694990586
F31E8.19	0	0	0	0	0	0	NA	NA
srw-84	0.037376246	0.018597638	0	0.023819521	0.021165906	0.021451733	0.366089694	1
sre-50	0.136729487	0.077752837	0.013041184	0.224064986	0.110612788	0.112106514	1.096671151	0.607828896
hsp-16.48	0	0	0	1.591276337	1.685923243	1.874047229	Inf	8.59E-14
ZK381.61	0	0	0	0	0	0	NA	NA
linc-65	0.791077745	0.69977553	0.469482618	0.560162465	0.497757546	0.201791726	-0.513901447	0.991811497
21ur-497	0	0	0	0	0	0	NA	NA
srxa-7	0	0	0.013947369	0.026626051	0.023659775	0	1.941470033	1
F32D8.5	32.10570118	30.07082394	32.33639087	20.49947856	19.45771523	24.3708697	-0.445835624	0.587510745
21ur-14731	0	0	0	0	0	0	NA	NA
ntc-1	4.454601603	1.852610858	4.749749624	4.576096448	3.162674867	2.060603967	-0.0696164	1
21ur-12098	0	0	0	0	0	0	NA	NA
21ur-8237	0	0	0	0	0	0	NA	NA
21ur-11415	0	0	0	0	0	0	NA	NA
K08E7.12	0	0	0	0	0	0	NA	NA
col-139	1893.668094	3635.447131	2948.420532	1943.584839	1950.241593	3908.569899	-0.007709996	1
unc-26	0.783749943	0.805388469	0.631343257	1.053243463	1.138525843	0.948545417	0.616940347	0.400977599
col-79	54.05078926	31.66771739	20.57953911	68.98519105	86.86219706	30.96602978	0.932721979	0.471401888
T23H4.t1	0	0	0	0	0	0	NA	NA
noah-1	7.712360272	5.404573798	3.331838526	9.863546645	14.06670713	4.603793473	0.916062447	0.508212973
hst-3.2	0.402562647	0.353482502	0.379444855	0.090546809	0.26819813	0.054363981	-1.341219656	0.306398211
21ur-568	0	0	0	0	0	0	NA	NA
21ur-2108	0	0	0	0	0	0	NA	NA
21ur-6855	0	0	0	0	0	0	NA	NA
zyx-1	172.9952808	206.7547503	165.0861476	136.7419837	162.6903023	156.6643584	-0.140658157	1
21ur-9589	0	0	0	0	0	0	NA	NA
C18H9.6	10.62873641	9.869500782	11.58101836	7.554190961	7.741883839	10.15954074	-0.226621213	0.934968809
F43G6.12	0	0	0	0	0	0	NA	NA
21ur-2874	0	0	0	0	0	0	NA	NA
W04D2.14	0	0	0	0	0	0	NA	NA
21ur-6431	0	0	0	0	0	0	NA	NA
tag-272	0.826746307	0.523563938	0.250901037	0.478979499	0.595866279	0.517639644	0.107125817	1
21ur-7930	0	0	0	0	0	0	NA	NA
sri-63	0	0	0	0	0	0.023692959	Inf	1
W08F4.11	0.408745151	0	0.068225307	0	0.231469519	0	-0.943493151	1
21ur-14211	0	0	0	0	0	0	NA	NA
ZK858.9	0	0.137622521	0.092331581	0	0.313255415	0	0.587335643	1
21ur-1746	0	0	0	0	0	0	NA	NA
B0563.17	0	0	0	0	0	0	NA	NA
21ur-10350	0	0	0	0	0	0	NA	NA
21ur-5015	0	0	0	0	0	0	NA	NA
F49F1.14	0.849162076	1.006012579	1.079901538	0.463853831	0.549570904	0.510576335	-0.833270025	0.50528726
F28D1.19	0	0	0	0	0	0	NA	NA
C15C8.8	0.184389479	0.366993389	0.430880714	0.117509637	0.104418472	0	-2.01674197	0.653698732
21ur-8400	0	0	0	0	0	0	NA	NA
linc-138	0.013071088	0.0130078	0.008726993	0.016660156	0.13323718	0.090024286	2.897505432	0.22505772
F53C3.6	0.454439277	0.292625205	0.249866393	2.044304255	1.756006517	0.920544728	2.360986168	0.002514048
21ur-1969	0	0	0	0	0	0	NA	NA
gsk-3	33.90632987	27.77093568	21.17521806	14.32452189	12.83656833	11.61052887	-0.979781297	0.042798029
gars-1	50.95996157	57.10076463	48.94482849	43.57029269	48.91586849	48.71685545	-0.038551375	1
lido-7	7.136464472	7.727467749	7.566745915	5.207813466	6.051525071	6.897248375	-0.194046196	0.971967424
F42A9.6	69.78886981	61.25585319	51.04915704	40.2573845	37.2482727	43.8537023	-0.472859682	0.579650687
21ur-3538	0	0	0	0	0	0	NA	NA
21ur-10453	0	0	0	0	0	0	NA	NA
T19C4.19	0	0	0	0	0	0	NA	NA
C17F4.3	0.321609557	0.320052374	0.465236651	0.307438004	0.39460469	0.09229234	-0.361840285	0.966516206
21ur-2183	0	0	0	0	0	0	NA	NA
21ur-1976	0	0	0	0	0	0	NA	NA
anmt-2	21.95072937	18.29128414	16.97222343	21.79269635	22.58286768	20.63656714	0.297090996	0.802077156
T28F12.4	0	0	0	0	0	0	NA	NA
ssq-2	304.4640444	318.1588623	198.0808066	249.0712273	247.2480243	196.1021267	-0.124609842	1
srh-4	0	0	0	0	0	0	NA	NA
str-204	0.037992338	0.07561677	0.01268291	0.096848602	0.064544385	0.043610666	0.842482052	0.946798848
ZK381.41	0	0	0	0	0	0	NA	NA
ikb-1	0.878779291	0.805482982	0.386001595	2.461217735	2.173929722	1.592737366	1.712078049	6.97E-05
dve-1	1.219280779	1.468825049	0.964018832	0.961070699	1.144726866	0.902366402	-0.159642531	1
ubc-19	10.87929394	7.984924418	5.010485138	6.918229493	8.659961997	7.124464633	0.042548535	1
oac-26	0	0.010074855	0	0	0	0	#NAME?	1
21ur-14049	0	0	0	0	0	0	NA	NA
spp-17	1248.909455	1105.960791	1677.444998	1436.219573	1376.832135	1252.178515	0.119534201	1
msp-63	20.79783677	18.60054383	28.27654683	14.18378043	13.82728982	12.6498188	-0.6273348	0.274377481
M110.11	0.186881229	0.18597638	0.124772407	0.23819521	0.423318129	0.21451733	0.935777645	1
F21D9.1	0	0.018698712	0	0	0	0	#NAME?	1
T24C12.1	1.185882205	0.798864237	0.523780739	1.953326423	1.632399592	1.549732056	1.148955608	0.031074797
21ur-8229	0	0	0	0	0	0	NA	NA
21ur-2379	0	0	0	0	0	0	NA	NA
F25G6.16	0	0	0	0	0	0	NA	NA
F11A1.2	0	0	0	0	0	0	NA	NA
F46F6.5	0	0	0	0	0	0	NA	NA
21ur-12136	0	0	0	0	0	0	NA	NA
21ur-13558	0	0	0	0	0	0	NA	NA
21ur-8284	0	0	0	0	0	0	NA	NA
F46G10.1	210.04552	184.8364578	180.3793872	115.8751455	118.8604536	65.27234978	-0.822075203	0.097578699
21ur-8433	0	0	0	0	0	0	NA	NA
F13H8.6	0.114480223	0.068355557	0.045860057	0.175097141	0.051863479	0.183973472	0.954133767	0.790478479
nhr-185	0	0	0.023614215	0	0.060087356	0.020299594	1.842547356	0.971967424
Y46E12A.2	0	0	0	0	0	0	NA	NA
F18C5.5	23.65849317	21.81594669	15.67152627	30.07561678	35.85580484	11.85232297	0.47065825	0.815666116
C53C9.5	0	0.26809582	0	0	0	0	#NAME?	1
srh-62	0	0	0	0	0	0	NA	NA
21ur-10741	0	0	0	0	0	0	NA	NA
C01G10.14	2.38118864	3.053214867	2.078989252	3.326845688	3.008081804	2.102553962	0.29054159	0.915844799
21ur-10237	0	0	0	0	0	0	NA	NA
21ur-8833	0	0	0	0	0	0	NA	NA
ztf-9	1.641596983	2.871261227	4.085174288	2.028943376	1.943761121	3.340451515	-0.128918732	1
21ur-817	0	0	0	0	0	0	NA	NA
anc-1	0.441393641	0.555776809	0.526971647	0.503541154	0.546664155	0.476692595	0.118141887	1
C03F11.4	0.354595152	0.441097823	0.355121467	0.497156157	0.321287606	0.488439459	0.299227018	0.971967424
21ur-13468	0	0	0	0	0	0	NA	NA
F20G2.9	0.616916473	0.920894192	0.463374108	0.09828873	0.174677741	0.177036607	-2.032460333	0.298718455
21ur-5286	0	0	0	0	0	0	NA	NA
21ur-14832	0	0	0	0	0	0	NA	NA
