	Control_P0_1	Control_P0_2	Control_P0_3	Heat_P0_1	Heat_P0_2	Heat_P0_3
hsp-16.48	-4	-4	-4	0.20177289596587	0.226863557326311	0.272803705237184
F53C3.6	-0.342428582980252	-0.533539880543266	-0.602118376320593	0.310566776184819	0.24455085457285	-0.0359079296328309
ikb-1	-0.0560707687356656	-0.0938897170718979	-0.413298404535627	0.391167681050835	0.337265477297484	0.202171435138345
T24C12.1	0.0740781727736202	-0.0974726599202697	-0.280767568352239	0.290797057846939	0.212853081487299	0.190284639462287
eol-1	-1.35926748895934	-1.36137054911396	-1.53422048793254	-0.476613111940101	-0.493142108203766	-0.822954914476252
F38B6.4	0.323094676771435	0.254774031592046	0.164858652977633	-0.354020847053202	-0.0348663185909036	-0.297307895211562
his-6	0.402034051891321	0.391152671608868	0.372716162486039	0.966781361867481	0.927384877914243	0.856371270041125
haf-2	0.891050181228484	0.855798140270282	0.822860715536169	1.24700804497578	1.26445492521317	1.20793056473731
nhr-55	1.06871467938212	1.04305889061025	1.10076701196759	0.795319272026369	0.833657760186873	0.496598300247359
Y73B6BL.44	-0.702305504183393	-0.646447871724743	-0.231633815795642	0.137560159270541	-0.00214588943070449	0.283148920091563
sre-48	-4	-1.73054191454141	-4	-0.62522491714267	-0.635124158003675	-0.440310195146343
anr-32	-0.548822715135511	-0.550929860050095	-0.615100026399142	-0.288622694786066	0.00899282151417977	-0.187982764133
T10B10.4	0.856107821869311	1.02422031309781	1.07859827864062	0.633390989472773	0.703137031014291	0.542165218222169
C18E3.3	-0.664211590287575	-0.622134337866552	-0.643373466920826	-0.235276096739475	-0.358429774782097	-0.188283547817876
tsp-20	-0.0275607518215246	0.277015156694307	0.292731342889987	-0.179738289371313	-0.210826180037817	-0.292136312891198
fos-1	1.18807508513761	1.27501594634441	1.07804267232668	1.5133378046297	1.56222570303595	1.50308051582809
T01C8.3	0.269666202743522	0.466780856693784	0.620313860242332	-0.172246422612497	-0.0399151401352961	-0.0651210181153955
B0303.7	1.05962900635655	1.00921690014305	0.906459875071081	1.33228970515041	1.38342176982799	1.26712699076733
osta-2	1.23908101524357	1.28702122809793	1.11853555948544	1.53721177974702	1.59177854179263	1.61032093470181
F53H8.3	1.15504087946206	1.05120442960559	0.879262768710213	0.390674682581669	0.432446012045364	0.461867580282602
F56F11.2	0.252598968935711	0.119957134168155	0.0469049449294798	0.605737284614008	0.575181402945802	0.567291422688825
unc-64	0.673246846536685	0.766735773436138	0.787776232422227	1.00350267218115	1.00016891795034	1.07674941501201
C30A5.4	-0.592573770993256	-1.73859424469808	-1.135573860644	-0.402945693680125	-0.429411359317251	-0.423587404249797
T08B6.4	1.128958665951	1.15916132336536	0.983523121507353	0.644114608482199	0.71844227411701	0.443354949382875
C29F9.15	-0.800108459090257	-4	-4	0.208101591318199	0.253712770330307	-0.0414681465167483
F08G12.5	-0.350466950661196	-0.176515713374269	-0.428984771934398	0.138051406902891	0.277561086929141	0.186481932704576
C17H11.5	-0.00797553631829508	-0.0100832137112694	-0.0979822801519804	0.303843033324686	0.462489804917884	0.333621913944947
pan-1	1.04849289095722	0.965712999820704	0.713992350779926	1.34804215238985	1.34192124747734	1.14334179307676
acox-1.5	0.674409203278294	0.789710106504353	0.827054043583172	0.408908980744587	0.35306752483396	0.278800113930619
rbr-2	-0.819644163887673	-0.481959022219265	-0.509161702072002	-0.275149080456732	-0.395840419844919	-0.175214107183845
psa-3	0.485307297095372	0.395066596830313	0.232459169931518	-0.0782943349803256	-0.00465986276670468	-0.1449456480075
skr-21	0.340002017677456	0.26180787231063	0.248880410877673	0.626590669304811	0.5952663652736	0.677005842230104
B0545.4	0.676379566908193	0.513978831463029	0.556238164359093	0.152036945290311	-0.0318686366490129	0.225747933658994
bag-1	1.20833455769842	1.37251719687819	1.42210640077237	1.90685995369583	1.86291929120361	1.94755742761267
Y54E10BL.1	-0.517071130071691	-4	-4	-0.31484696327146	0.296546980598858	0.262865719112665
C44C1.1	1.81505676553736	1.78369479095383	1.72577909796267	1.15537886465548	1.16694886714943	0.905986621411014
cyp-13A2	0.234352992454539	0.158463720189533	-0.0068926113901846	-0.387197777255214	-0.165535007061469	-0.771336314278889
C15F1.1	1.18919779720863	1.38923028440976	1.37991783613525	0.965824046134127	0.845332370935706	1.06983408117969
cst-1	-0.814912611433164	-0.779254311742975	-0.689400962273626	-0.219670696667497	-0.480167272501691	-0.305242873709607
T21F4.1	1.29563535137926	1.27843653590228	1.37838593801103	1.66780972590801	1.77850346523063	1.77876770540119
nspe-2	0.635657472136475	0.843656101546961	0.903903213764986	1.24917270142229	1.27954643016488	1.5322913647051
pqn-29	-0.599392599812008	-0.425466228454716	-0.774753792044253	-0.171914124959695	0.00477721200643599	-0.0924568193982416
clec-144	-0.575042671551364	-0.82006481048414	-0.896438814981519	0.347840688786772	0.296546980598858	0.00136385022789844
pept-2	0.446787503562214	0.483830465674997	0.37097620882794	0.00879615578536112	0.0237630344707308	0.0377051360087851
plep-1	0.552692810011719	0.47915773748799	0.117442192865306	-0.887747710748699	-0.872108944448956	-0.565417381621343
T10C6.15	-0.699926998185103	-4	-1.65179073705733	0.668473416779674	0.439113922241485	0.215095694202373
nhr-13	0.33970081158481	0.353619737817941	0.394508127539464	-0.134676084154592	-0.0398558176020396	0.101835162403629
clec-175	0.230046156779544	0.249126464083498	0.166153621948824	-0.319287815347906	-0.0838323293143941	-0.312053603585263
mct-4	1.36628029993777	1.38084091383271	1.13396541568673	0.947338615682425	0.912477598209568	0.857836314451951
hsp-16.41	0.466749575119008	0.00155959153640189	-1.49268967358587	3.03633750841134	2.9595168905173	3.08945068439464
F19B10.1	0.485576284580052	0.620105252973829	0.695474597551461	0.938633344784718	0.87739184003141	0.962676948492905
lys-3	-0.278429239181675	-0.280536730619315	-0.353190712017537	1.01413527169436	1.04931927691283	0.42399489812423
R08D7.8	-4	-4	-4	0.0243570575120373	0.370978335851728	-0.0211090523033091
ugt-25	0.178342566737425	0.0985542285934382	-0.142452968215908	0.826684612617471	0.753395356419301	0.861287412908745
F41C3.2	0.261395122817394	0.249303680986815	-0.0389670221969499	0.450300126035091	0.683428310922349	0.762994462259707
Y41D4B.24	-0.309469332223303	-0.268833156792563	-0.345246859271248	-1.18879600566913	-0.872462773115888	-0.866641576760167
C25F9.11	0.675329299597824	1.00420975519431	0.965354977907293	1.82145367098413	1.71821997103863	1.43003248687245
lmd-3	0.995009477738979	0.965166715419425	0.913822427585562	1.35003155440924	1.38235567342673	1.47549827351426
Y77E11A.12	1.14727147826191	1.13516796184834	0.871071004454868	0.620411121706325	0.716751525239542	0.657637444494126
W05H7.1	1.27549827810937	1.25238213067495	1.16284266304188	1.56885497266074	1.59869187706499	1.4789293430579
nspe-7	0.998134259343255	0.825927593954795	0.567422024560917	1.25191950474455	1.32627541968275	1.26265131860384
hsp-1	3.16925892034118	3.16605823087526	3.0650266441767	3.60810021808661	3.7127754219304	3.69596453775186
tli-1	0.685382651661954	0.796629597868997	0.734820346777015	1.29334603233687	1.35154874300877	1.08630910837047
srb-7	-1.40093340185219	-1.70296880698171	-4	-0.69438577088017	-0.745654985786716	-0.864691917348267
scrm-2	-0.204833382402993	-0.244723139135212	-0.0884102621323231	-0.701377228404508	-0.752646006163822	-0.825956529995984
pek-1	-0.167481619862539	-0.00458365724825694	0.0516958236704768	0.793907625055382	0.833891794153871	0.913935831566361
frm-10	0.318707832789317	0.534836391629234	0.605772367985387	0.936770201990176	0.908026268193295	1.05015051960967
F46G10.2	-0.0690239967021766	0.0175854690775499	-0.0157345455994157	0.381357305793707	0.384110800522729	0.358817585916158
R193.2	-0.265262534674017	-0.173400220124757	-0.135350118929338	-0.577122548902531	-0.465252724897985	-0.622575086725271
glc-4	-0.178763531712175	-0.27103253638886	-0.319423477542879	-0.675316045809787	-0.764353942584828	-1.19742884078927
B0252.1	-0.688294445351827	-0.47962983600825	-0.687650627263617	-1.26358270145401	-1.11099530988253	-1.70558052311964
cyp-33C3	-0.655753713715237	-0.606730076375966	-0.47908404823084	-4	-1.20324511118934	-1.10065569882571
Y55B1BR.1	-4	-1.86585759669396	-4	-0.983013945961005	-0.967378091380065	-0.96155794884265
duo-3	-0.121257107468211	-0.0102307421736316	-0.00351321278706227	0.26931190385388	0.181692227598776	0.473709965373216
xbp-1	2.25408371360511	2.29145883426492	2.11410795106721	2.53284941878179	2.64563792934736	2.58372313422209
C18C4.17	-0.387727609666614	-0.565872965546977	-0.195235929136282	0.51917915696037	0.393253806340581	0.308906450816611
F41D9.2	1.73935193431826	1.88112577778387	1.80386865120284	1.47331591189219	1.40825599021022	1.29505912795692
C44B12.9	-0.854527003590246	-0.856633384628149	-0.553008473210089	0.551571741503248	0.541668555540612	0.557253463453762
Y37E3.27	-4	-4	-4	-0.316038197741811	-0.270433301785098	-0.486404374981404
C56E6.2	0.586453667392294	0.651707184497218	0.749700106616392	1.16990443821838	1.21860906421679	1.37678718536739
msrp-5	1.82002400468345	1.82559111949092	1.89722286487	1.50852927581933	1.53802305178132	1.35025725271863
F44B9.10	0.458096603302202	0.257163222825152	0.225932541459685	-0.172440145523365	-0.136591241132917	-0.393959053905554
ugt-48	0.510667144219244	0.592981239341363	0.357502078800145	-0.143147021382321	0.101481287949485	-0.0662210667412188
atf-7	1.46283459682856	1.50311974370921	1.4180273498912	1.89744617642859	1.97844705527984	2.01922980864931
