Name	Control_P0_1	Control_P0_2	Control_P0_3	Heat_P0_1	Heat_P0_2	Heat_P0_3
oac-43	0	0	0	0.026706736	0	0.036077915
npp-11	30.59241081	30.82846916	30.84974552	29.07488759	28.76042276	37.41091743
tost-1	26.06274371	43.69274438	60.4997845	39.50542523	30.72312728	55.67099742
F36G9.15	2.51440199	1.376225209	1.552849325	1.201803108	1.423888252	0.649402462
srw-84	0.037376246	0.018597638	0	0.023819521	0.021165906	0.021451733
sre-50	0.136729487	0.077752837	0.013041184	0.224064986	0.110612788	0.112106514
hsp-16.48	0	0	0	1.591276337	1.685923243	1.874047229
linc-65	0.791077745	0.69977553	0.469482618	0.560162465	0.497757546	0.201791726
srxa-7	0	0	0.013947369	0.026626051	0.023659775	0
F32D8.5	32.10570118	30.07082394	32.33639087	20.49947856	19.45771523	24.3708697
ntc-1	4.454601603	1.852610858	4.749749624	4.576096448	3.162674867	2.060603967
col-139	1893.668094	3635.447131	2948.420532	1943.584839	1950.241593	3908.569899
unc-26	0.783749943	0.805388469	0.631343257	1.053243463	1.138525843	0.948545417
col-79	54.05078926	31.66771739	20.57953911	68.98519105	86.86219706	30.96602978
noah-1	7.712360272	5.404573798	3.331838526	9.863546645	14.06670713	4.603793473
hst-3.2	0.402562647	0.353482502	0.379444855	0.090546809	0.26819813	0.054363981
zyx-1	172.9952808	206.7547503	165.0861476	136.7419837	162.6903023	156.6643584
C18H9.6	10.62873641	9.869500782	11.58101836	7.554190961	7.741883839	10.15954074
tag-272	0.826746307	0.523563938	0.250901037	0.478979499	0.595866279	0.517639644
sri-63	0	0	0	0	0	0.023692959
W08F4.11	0.408745151	0	0.068225307	0	0.231469519	0
ZK858.9	0	0.137622521	0.092331581	0	0.313255415	0
F49F1.14	0.849162076	1.006012579	1.079901538	0.463853831	0.549570904	0.510576335
C15C8.8	0.184389479	0.366993389	0.430880714	0.117509637	0.104418472	0
linc-138	0.013071088	0.0130078	0.008726993	0.016660156	0.13323718	0.090024286
F53C3.6	0.454439277	0.292625205	0.249866393	2.044304255	1.756006517	0.920544728
gsk-3	33.90632987	27.77093568	21.17521806	14.32452189	12.83656833	11.61052887
gars-1	50.95996157	57.10076463	48.94482849	43.57029269	48.91586849	48.71685545
lido-7	7.136464472	7.727467749	7.566745915	5.207813466	6.051525071	6.897248375
F42A9.6	69.78886981	61.25585319	51.04915704	40.2573845	37.2482727	43.8537023
C17F4.3	0.321609557	0.320052374	0.465236651	0.307438004	0.39460469	0.09229234
anmt-2	21.95072937	18.29128414	16.97222343	21.79269635	22.58286768	20.63656714
ssq-2	304.4640444	318.1588623	198.0808066	249.0712273	247.2480243	196.1021267
str-204	0.037992338	0.07561677	0.01268291	0.096848602	0.064544385	0.043610666
ikb-1	0.878779291	0.805482982	0.386001595	2.461217735	2.173929722	1.592737366
dve-1	1.219280779	1.468825049	0.964018832	0.961070699	1.144726866	0.902366402
ubc-19	10.87929394	7.984924418	5.010485138	6.918229493	8.659961997	7.124464633
oac-26	0	0.010074855	0	0	0	0
spp-17	1248.909455	1105.960791	1677.444998	1436.219573	1376.832135	1252.178515
msp-63	20.79783677	18.60054383	28.27654683	14.18378043	13.82728982	12.6498188
M110.11	0.186881229	0.18597638	0.124772407	0.23819521	0.423318129	0.21451733
F21D9.1	0	0.018698712	0	0	0	0
T24C12.1	1.185882205	0.798864237	0.523780739	1.953326423	1.632399592	1.549732056
F46G10.1	210.04552	184.8364578	180.3793872	115.8751455	118.8604536	65.27234978
F13H8.6	0.114480223	0.068355557	0.045860057	0.175097141	0.051863479	0.183973472
nhr-185	0	0	0.023614215	0	0.060087356	0.020299594
F18C5.5	23.65849317	21.81594669	15.67152627	30.07561678	35.85580484	11.85232297
C53C9.5	0	0.26809582	0	0	0	0
C01G10.14	2.38118864	3.053214867	2.078989252	3.326845688	3.008081804	2.102553962
ztf-9	1.641596983	2.871261227	4.085174288	2.028943376	1.943761121	3.340451515
anc-1	0.441393641	0.555776809	0.526971647	0.503541154	0.546664155	0.476692595
C03F11.4	0.354595152	0.441097823	0.355121467	0.497156157	0.321287606	0.488439459
F20G2.9	0.616916473	0.920894192	0.463374108	0.09828873	0.174677741	0.177036607
Y39A1A.10	0	0.115649177	0	0	0	0
smz-2	23.66052273	18.9668856	12.89284629	19.22884972	20.33312424	14.08481785
ztf-23	1.547554558	1.966036012	2.978792688	1.55280592	1.547630921	2.456734183
zipt-15	8.554151101	6.868227962	4.465144896	8.301114248	6.979988287	11.35896403
col-95	2.587400758	7.502647105	29.11423254	10.06413183	9.220824729	76.78544026
hsp-12.2	218.6510379	208.1695608	183.7065745	260.0297715	264.9971487	239.6158575
T05A7.7	0.80715239	1.63326338	1.13169059	0.411512348	0.63991865	0.308838179
sre-54	0	0.018800891	0	0.024079844	0	0
Y104H12D.4	26.18586702	20.83452052	18.03885527	21.29862174	18.85333519	24.5463441
B0348.5	3.567407919	2.388671142	0.999768717	5.136368695	5.586720785	2.856359734
fbxa-80	0.961633874	0.934192608	0.611467427	0.817119994	1.270655245	0.735893887
gad-2	0.131171378	0.130536266	0.212687925	0.167188508	0.233455933	0.19358881
lgc-37	0.257154749	0.298561254	0.123999025	0.18209138	0.19416658	0.131192417
gbh-1	3.326220168	3.277503163	3.00843423	2.819395916	3.136265711	2.877683897
F08F8.11	0.501866526	0.332957712	0.223382858	0.710743773	0.378938003	0.320046016
hlh-12	0.549505071	0.865837052	1.834402281	0.233462855	0.259317397	0.683330038
Y38E10A.8	0.16690427	0.213552188	0.015919238	0	0	0.027369452
T21D12.11	0	0.009691727	0	0.01241299	0	0
F58F12.5	0	0.155213369	0	0.198794499	0.176647791	0.17903326
set-26	2.15923889	1.994105178	1.264931447	2.098896314	2.274241929	2.208511952
ZC196.8	0.025421344	0	0	0	0	0
F25B3.2	0.411583659	0.307193127	0.20609728	0.157378978	0.163153862	0.11811222
ncx-10	0.033969132	0.101413976	0.090718803	0.028864267	0.012824321	0.025995004
madf-10	0.823867886	1.259099659	1.139411005	0.52504306	0.699825928	0.64172631
amx-2	11.41625207	17.38789367	11.86938399	8.047384118	9.624502591	10.96967654
srg-68	0	0	0	0.027801965	0	0
linc-45	1.039450496	1.07939232	0.724169266	0.633630397	0.460669729	0.622520879
pde-5	0.018970111	0.00943913	0.012665512	0	0	0
T26A8.3	0	0.048802312	0.065483391	0	0	0
ech-1.2	37.17373542	41.39754362	44.51612764	27.87043754	32.23616775	32.41590944
Y53C12A.10	10.22541233	13.67478014	17.60559816	11.05387265	12.24483562	17.3540884
Y57A10A.41	0	0	0	0.18234254	0.324057326	0
clec-99	0.395990622	0.363759967	0.386409702	0.15529908	0.275995961	0.279723038
F21D5.9	0.594804772	0.665915424	0.62050794	0.473829182	0.631563338	0.554746428
cyp-44A1	1.580481251	1.994122241	1.922004349	2.032437092	1.662171592	3.855182872
nlp-4	11.46119537	9.897510062	8.474268436	6.398641203	6.812232493	5.00148624
fbxa-165	0.016006031	0	0	0	0	0
F19B6.9	0	0	0	0	0.182125242	0
F12A10.8	1.073500393	2.419391348	2.729894932	1.207290793	1.072792519	2.935654967
nhr-221	0	0	0	0.023071264	0	0.041555713
eol-1	0.043625271	0.043414044	0.029126682	0.333623576	0.321160915	0.150229802
aff-1	0.246113076	0.093303404	0.054772972	0.328628646	0.199103018	0.121075035
ztf-18	2.998438758	2.645375687	1.922694259	1.431896609	1.442623624	1.661895699
Y18H1A.8	2.354359532	1.773050882	0.424838565	0.811032772	1.297223346	0.146082354
F38B6.4	2.104137116	1.797835185	1.461601367	0.442467128	0.92275545	0.504203642
mel-11	3.073405983	3.425014964	2.919263526	1.851971606	2.153757375	3.151285889
irld-26	0	0.019061291	0	0	0	0
lrp-2	0.156535625	0.182684762	0.175770144	0.163241418	0.093480212	0.213987548
F08F3.10	0.330842367	0.395088577	0.375511217	0.12650559	0.337236691	0.265837265
F46H6.8	0	0	0	0.163207829	0	0
clec-194	0.066486591	0.154384238	0.13317055	0.056495018	0.050201188	0
E02C12.6	0.477437045	0.278521768	0.197853389	0.062951591	0.223753868	0.018897955
his-6	2.52357864	2.461132672	2.358836023	9.263533442	8.460182753	7.183981822
vit-1	9.052702403	26.14998116	62.81630969	9.145694396	10.76149556	114.6001458
Y95D11A.3	3.535287009	4.423581028	5.883534985	4.936730058	4.386753468	8.265368851
dpf-6	0.613117727	0.576251935	0.485157735	0.75252477	1.093050505	0.390992178
pif-1	8.009195528	9.628262849	9.411404443	8.922112027	8.27284572	12.17232621
K03B4.2	82.28838434	103.8548758	159.8681588	87.25674218	71.1566937	98.66234467
nstp-5	21.25518596	35.71105284	29.77767724	18.67496404	20.01913628	22.50983455
haf-2	7.781164557	7.174507386	6.650498278	17.66060535	18.38453133	16.14090473
mes-1	0.057204595	0.220594527	0.424897143	0.109367811	0.089085046	0.279072183
K10C9.1	7.53514699	6.616467349	5.504382742	3.954651251	3.714887939	3.866812383
F58B4.3	6.940026817	6.982319073	7.89231349	5.92948445	5.528036743	5.602687911
scl-5	2.31589657	1.481582162	2.694845201	2.656617396	2.060890891	3.683744962
dhhc-8	4.380226772	4.636012885	3.902574259	3.080893559	3.102688702	3.649067038
C01G5.4	0.405251603	0.428495028	0.372032013	0.524596595	0.466153892	0.356153772
T04B2.7	0.638849419	0.710551059	0.451621866	1.125601824	0.87251848	0.905869377
nhr-55	11.71415515	11.04218344	12.61140778	6.241835434	6.817911983	3.13750523
col-10	610.7588977	455.7871284	180.4691182	782.5544329	848.7894405	639.5183368
W09G10.9	17.02056732	12.17429992	24.8585027	13.55880429	11.44587095	17.40065572
slr-2	9.249770516	12.10632893	9.648603584	12.72526	11.04629182	14.99951154
ZK180.18	0	0	0	0.57897084	0.171490191	0.347612024
kgb-1	10.6283322	11.12243391	11.34663041	10.66152015	11.53677233	10.06859856
zyg-1	1.643074568	1.946570309	1.795699074	1.296428812	1.716923246	2.413699236
ubxn-2	104.4574213	115.5679287	110.4927341	101.7703167	100.9850509	114.2948334
Y105E8A.47	0	0.140431144	0	0	0	0
taf-4	10.12118778	11.16213194	9.497466109	7.383596954	7.397969019	10.02745702
F17C11.6	22.36094189	27.35802532	24.23704014	19.7586769	16.29433411	18.75469656
Y73B6BL.44	0.198369829	0.22561069	0.586532587	1.37255109	0.994971094	1.919226767
pals-15	0	0	0	0	0.022060241	0
asns-1	17.14872263	16.06842657	6.255799179	8.046855589	9.689920686	7.635184748
T08G2.2	0.935811267	0.620853478	0.358681582	0.971884217	1.099141809	0.39785169
C56G2.18	0	0	0	0.176264456	0	0
acs-2	29.72498411	31.85994707	17.65338072	42.20095694	33.24859579	36.72370342
irld-49	0	0	0	0	0	0.036746024
E02H1.6	9.672890716	7.257143859	7.366344751	8.04266779	7.78859093	7.980513563
C01G5.9	0.291482198	0.354531084	0.345973139	0.371517588	0.293447696	0.315998596
ZK899.1	13.91457645	17.83995641	20.54662662	16.59279599	15.66277077	14.94338314
cyb-1	223.3302961	280.6434942	304.604948	148.6074914	144.7724613	147.4729607
twk-9	0.060761032	0.169307143	0.05679447	0.061955872	0.13763419	0.139492816
tag-307	7.015401471	12.09713995	15.14184098	6.475020824	6.32447158	9.74208877
B0250.19	0.331901063	0	0.110797898	0.211517347	0	0
sre-48	0	0.018497651	0	0.236914591	0.231573224	0.362718819
Y105C5A.1285	0.300635021	0.299179393	0	0	0	0
linc-53	0.324122132	0.430070378	1.370546912	0.275413212	0.611826983	0.496071325
chil-27	0	0.03373101	0	0	0	0
R07B7.9	0.399468267	0.411731751	0.200030593	0.254577274	0.226216084	0.278400414
ttr-43	4.369646514	2.628207864	2.660944883	1.958493953	1.196461656	1.102380723
K01A2.4	0.032667427	0.032509257	0.087242439	0	0.036998671	0.07499661
21ur-10694	0	0.983018006	2.638045185	0	3.356308023	0
dnj-14	12.39530659	11.85963659	7.55246807	15.27083764	13.20869609	12.36292041
F26A1.1	5.641519267	8.893296474	12.54976189	9.608640008	8.679549868	17.07774787
gop-2	29.42591936	24.21924419	25.46899242	19.23560142	17.66461367	23.52158419
sta-2	0.30434003	0.448242365	0.422644563	0.698230679	0.579081314	0.712665848
Y65B4BR.1	0.914630354	1.729383529	2.076239266	0.512938892	0.476512867	1.175872771
sod-2	264.5615265	221.3118916	219.9737542	196.2331542	194.6205098	200.9669852
str-264	0	0	0	0.028707566	0	0
clec-179	0	0.021707022	0	0	0	0
gst-11	0.677902497	0.3373101	0.565757239	0.302414507	0.268724008	0.194537775
K03D3.5	0	0.128619178	0.172582395	0.082366568	0.073190518	0.370894449
fipr-28	0.192072374	0.31857065	0.256476615	0	0.217538483	0
str-109	0.042551418	0	0	0	0.02409657	0.024421973
gon-14	1.728651368	2.207440877	2.578951805	1.823089227	1.97517242	3.468109266
R05H5.7	0.881273247	1.14685434	0.950472162	0.950445595	1.036506889	0.855966209
C56C10.6	0.245198776	0.374151061	0.29467526	0.70839143	0.555417403	0.450334253
cas-2	15.54482136	15.10617695	16.64754667	11.85685044	10.57532427	14.72995024
