Name	Control_P0_1	Heat_P0_1
oac-43	0	0.026706736
npp-11	30.59241081	29.07488759
tost-1	26.06274371	39.50542523
F36G9.15	2.51440199	1.201803108
srw-84	0.037376246	0.023819521
sre-50	0.136729487	0.224064986
hsp-16.48	0	1.591276337
linc-65	0.791077745	0.560162465
srxa-7	0	0.026626051
F32D8.5	32.10570118	20.49947856
ntc-1	4.454601603	4.576096448
col-139	1893.668094	1943.584839
unc-26	0.783749943	1.053243463
col-79	54.05078926	68.98519105
noah-1	7.712360272	9.863546645
hst-3.2	0.402562647	0.090546809
zyx-1	172.9952808	136.7419837
C18H9.6	10.62873641	7.554190961
tag-272	0.826746307	0.478979499
W08F4.11	0.408745151	0
F49F1.14	0.849162076	0.463853831
C15C8.8	0.184389479	0.117509637
linc-138	0.013071088	0.016660156
F53C3.6	0.454439277	2.044304255
gsk-3	33.90632987	14.32452189
gars-1	50.95996157	43.57029269
lido-7	7.136464472	5.207813466
F42A9.6	69.78886981	40.2573845
C17F4.3	0.321609557	0.307438004
anmt-2	21.95072937	21.79269635
ssq-2	304.4640444	249.0712273
str-204	0.037992338	0.096848602
ikb-1	0.878779291	2.461217735
dve-1	1.219280779	0.961070699
ubc-19	10.87929394	6.918229493
spp-17	1248.909455	1436.219573
msp-63	20.79783677	14.18378043
M110.11	0.186881229	0.23819521
T24C12.1	1.185882205	1.953326423
F46G10.1	210.04552	115.8751455
F13H8.6	0.114480223	0.175097141
F18C5.5	23.65849317	30.07561678
C01G10.14	2.38118864	3.326845688
ztf-9	1.641596983	2.028943376
anc-1	0.441393641	0.503541154
C03F11.4	0.354595152	0.497156157
F20G2.9	0.616916473	0.09828873
smz-2	23.66052273	19.22884972
ztf-23	1.547554558	1.55280592
zipt-15	8.554151101	8.301114248
col-95	2.587400758	10.06413183
hsp-12.2	218.6510379	260.0297715
T05A7.7	0.80715239	0.411512348
sre-54	0	0.024079844
Y104H12D.4	26.18586702	21.29862174
B0348.5	3.567407919	5.136368695
fbxa-80	0.961633874	0.817119994
gad-2	0.131171378	0.167188508
lgc-37	0.257154749	0.18209138
gbh-1	3.326220168	2.819395916
F08F8.11	0.501866526	0.710743773
hlh-12	0.549505071	0.233462855
Y38E10A.8	0.16690427	0
T21D12.11	0	0.01241299
F58F12.5	0	0.198794499
set-26	2.15923889	2.098896314
ZC196.8	0.025421344	0
F25B3.2	0.411583659	0.157378978
ncx-10	0.033969132	0.028864267
madf-10	0.823867886	0.52504306
amx-2	11.41625207	8.047384118
srg-68	0	0.027801965
linc-45	1.039450496	0.633630397
pde-5	0.018970111	0
ech-1.2	37.17373542	27.87043754
Y53C12A.10	10.22541233	11.05387265
Y57A10A.41	0	0.18234254
clec-99	0.395990622	0.15529908
F21D5.9	0.594804772	0.473829182
cyp-44A1	1.580481251	2.032437092
nlp-4	11.46119537	6.398641203
fbxa-165	0.016006031	0
F12A10.8	1.073500393	1.207290793
nhr-221	0	0.023071264
eol-1	0.043625271	0.333623576
aff-1	0.246113076	0.328628646
ztf-18	2.998438758	1.431896609
Y18H1A.8	2.354359532	0.811032772
F38B6.4	2.104137116	0.442467128
mel-11	3.073405983	1.851971606
lrp-2	0.156535625	0.163241418
F08F3.10	0.330842367	0.12650559
F46H6.8	0	0.163207829
clec-194	0.066486591	0.056495018
E02C12.6	0.477437045	0.062951591
his-6	2.52357864	9.263533442
vit-1	9.052702403	9.145694396
Y95D11A.3	3.535287009	4.936730058
dpf-6	0.613117727	0.75252477
pif-1	8.009195528	8.922112027
K03B4.2	82.28838434	87.25674218
nstp-5	21.25518596	18.67496404
haf-2	7.781164557	17.66060535
mes-1	0.057204595	0.109367811
K10C9.1	7.53514699	3.954651251
F58B4.3	6.940026817	5.92948445
scl-5	2.31589657	2.656617396
dhhc-8	4.380226772	3.080893559
C01G5.4	0.405251603	0.524596595
T04B2.7	0.638849419	1.125601824
nhr-55	11.71415515	6.241835434
col-10	610.7588977	782.5544329
W09G10.9	17.02056732	13.55880429
slr-2	9.249770516	12.72526
ZK180.18	0	0.57897084
kgb-1	10.6283322	10.66152015
zyg-1	1.643074568	1.296428812
ubxn-2	104.4574213	101.7703167
taf-4	10.12118778	7.383596954
F17C11.6	22.36094189	19.7586769
Y73B6BL.44	0.198369829	1.37255109
