	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Plod2	28.95595604	6.498163683	1.076391083	6.036991372	1.57E-09	6.67E-08
Catsperg2	6.637677415	6.239706161	1.49659817	4.169259516	3.06E-05	0.000584448
Tspan12	5.700721733	6.021108522	1.528070179	3.940335074	8.14E-05	0.001393502
Six3	5.66721338	6.013857141	1.55030307	3.879149346	0.000104822	0.001719391
Elavl4	5.371637061	5.934325605	1.541323195	3.850150069	0.000118045	0.001908659
Tex15	5.233075399	5.896186576	1.597780702	3.690235192	0.000224047	0.003254902
Olfr876	5.063919814	5.848135757	1.59513999	3.666221018	0.000246161	0.003523474
Chn2	5.05784935	5.8466841	1.599358515	3.655643213	0.000256538	0.003645144
Klf1	4.810787548	5.782556707	1.544146414	3.744824102	0.00018052	0.002742697
B3galt5	4.53836247	5.690087308	1.673196496	3.400728677	0.000672065	0.008145044
Cd1d1	4.453013572	5.664849289	1.620200428	3.496387972	0.000471602	0.006022274
Bicd1	4.44997834	5.664096911	1.629829031	3.475270598	0.000510338	0.006461434
Vegfc	4.367543871	5.63990408	1.587410225	3.552896404	0.000381014	0.005058014
Mkx	8.611771547	5.628569062	1.367770153	4.11514248	3.87E-05	0.000717819
Itgb6	4.338854566	5.626367219	1.729928847	3.252369153	0.001144473	0.012479984
Vmn2r112	4.329628069	5.622538225	1.65581829	3.395625148	0.000684721	0.008246972
Prph	4.210770818	5.586901503	1.678929538	3.327656925	0.000875796	0.010066847
Fmo1	4.391888633	4.626487473	1.598098786	2.894994673	0.00379165	0.032123895
Cyp2c50	8.126859339	4.592149676	1.252224263	3.667194296	0.000245226	0.003513793
Zhx2	7.842426935	4.561350589	1.287569053	3.542606573	0.000396193	0.005210287
Mctp2	6.802180744	4.400227312	1.395961321	3.152112631	0.001620937	0.01639993
Celf6	6.868927668	4.3632374	1.305553718	3.342058882	0.000831594	0.009698128
Vmn2r70	6.33894186	4.290647758	1.349125631	3.18031743	0.001471138	0.015208323
Dhtkd1	6.329723577	4.184445173	1.456223313	2.873491405	0.004059621	0.03372913
Fgl1	6.216815988	4.169811143	1.344206417	3.102061626	0.001921779	0.018800257
Cnih3	5.530069926	4.091494757	1.451731411	2.818355191	0.004827038	0.038519989
Olfr750	5.715794903	4.080052284	1.413694084	2.886092776	0.003900572	0.032821765
Prss30	5.636516468	4.061346568	1.384221914	2.934028515	0.003345935	0.029353561
Olfr843	5.776607542	4.046974106	1.422272434	2.845428209	0.004435176	0.036070286
Basp1	104.3701577	3.963567571	0.280725212	14.11902959	2.90E-45	8.21E-43
Tnc	23.14505285	3.959522082	0.627446051	6.310537892	2.78E-10	1.27E-08
Dlc1	7.246766159	3.822727375	1.20647716	3.168503724	0.001532258	0.015733455
Rhox5	17.45003246	3.703357446	0.736182048	5.03049138	4.89E-07	1.40E-05
Ispd	8.856507043	3.634930446	1.028163781	3.535361306	0.000407218	0.005339778
Prkg2	6.084385882	3.596836628	1.189118781	3.024791706	0.002488044	0.023207556
Slco1a4	5.989804086	3.559813715	1.192070296	2.986244794	0.002824265	0.025637083
Aldh1a1	8.012597344	3.509337082	1.006763324	3.485761747	0.000490738	0.006248177
Crtam	7.811696208	3.501915681	1.02058331	3.431288408	0.000600722	0.007426011
Mapk8ip2	7.371721152	3.480422834	1.099481704	3.16551228	0.001548101	0.0157686
Ptprh	7.968477476	3.461468115	1.088451009	3.18017815	0.001471845	0.015208323
Prodh	11.03671563	3.450382083	0.846253345	4.077244838	4.56E-05	0.000832923
Olr1	56.80756882	3.419689024	0.352841016	9.691869343	3.26E-22	3.93E-20
Gm10719	84.52417517	3.352779144	1.135972441	2.951461693	0.003162738	0.02809073
Slc5a1	6.966414291	3.348642489	1.07725924	3.108483422	0.001880502	0.018529758
9330182L06Rik	8.781214548	3.288637567	0.998823452	3.292511364	0.000992969	0.011085706
Rgl3	13.64595458	3.285293846	0.716314491	4.586384735	4.51E-06	0.000104667
Mmp9	27.17283389	3.263380339	0.501143861	6.511863341	7.42E-11	3.66E-09
Chst11	8.171336107	3.240850819	0.972872509	3.331218417	0.000864667	0.009981109
Arhgef26	6.777271714	3.23338727	1.166966927	2.770761703	0.005592534	0.043184143
Wnt7b	6.636926236	3.208383073	1.109564059	2.891570834	0.003833212	0.032375194
Klkb1	8.136201134	3.20578247	0.976190377	3.283972619	0.001023549	0.011352541
Rgma	6.48952866	3.205407272	1.139614033	2.812713059	0.004912547	0.039041969
Cd200r2	6.13918915	3.198094797	1.155729997	2.767164308	0.005654625	0.04353997
Olfr432	6.343133733	3.125271758	1.142518536	2.735423242	0.006230011	0.046752591
Atp9a	11.93112427	3.103130472	0.81570179	3.804246245	0.000142237	0.002251611
Satb1	9.010629667	3.10164993	0.907255761	3.418716159	0.000629173	0.007698899
Negr1	6.125172834	3.072179102	1.10766937	2.773552458	0.00554479	0.042937389
Ripor2	8.822011275	3.069725521	1.045655456	2.935695026	0.003328013	0.029215188
Atcay	8.774714359	3.066275712	0.995710646	3.079484712	0.00207359	0.020030806
Cfap61	8.824779303	3.01589864	1.063503744	2.835813843	0.004570908	0.036887363
Adora2a	35.15669985	2.956520162	0.415765198	7.111033286	1.15E-12	6.78E-11
Myrfl	8.536800282	2.954968631	1.014557896	2.912567771	0.003584704	0.030773236
Abcc8	9.465317344	2.947277477	0.864201056	3.410407167	0.00064866	0.007889511
Spink5	2542.173811	2.94576209	0.057879545	50.89470002	0	0
Btbd3	16.20647658	2.939018239	0.621857188	4.72619485	2.29E-06	5.69E-05
Tmeff1	7.971634893	2.937470102	0.93154371	3.153335771	0.00161416	0.016343523
Slc17a6	17.93579434	2.931846907	0.670510892	4.372556723	1.23E-05	0.000258488
Card10	7.910709666	2.893724974	0.953636617	3.034410511	0.002410062	0.022616997
Smad1	48.40134937	2.863834609	0.341092082	8.396074724	4.62E-17	4.00E-15
Tg	14.19767187	2.859429964	0.703506978	4.064536747	4.81E-05	0.000873757
Bdh2	46.81185851	2.842714688	0.351205878	8.094154637	5.77E-16	4.61E-14
Scn11a	12.83104537	2.820612959	0.737467904	3.824726396	0.000130917	0.002089454
Eml1	7.723109301	2.794317804	0.967960897	2.886808561	0.003891709	0.032778048
Tecta	10.11197609	2.791303604	0.878511919	3.177308746	0.001486487	0.01534795
Tmprss6	8.655557609	2.777389301	0.899711507	3.086977635	0.002022028	0.019646845
Smo	12.17714089	2.730869981	0.708389201	3.855041803	0.00011571	0.001877593
Pak6	8.786173419	2.72264954	0.907125711	3.001402681	0.002687389	0.024674625
Plxdc1	11.93653374	2.709441055	0.732167119	3.700577346	0.00021511	0.003158811
Col6a3	11.52251177	2.643727607	0.81034754	3.262461447	0.001104492	0.012112001
Opcml	24.95454408	2.638878724	0.465042001	5.674495464	1.39E-08	5.21E-07
Hcn3	10.49990449	2.626260582	0.795330658	3.302099014	0.000959642	0.010784471
Bach2	9.043901428	2.60917331	0.841182676	3.101791542	0.001923534	0.018803889
Omp	8.675216925	2.569215898	0.8326714	3.085509959	0.002032034	0.01972277
Neo1	10.95259037	2.554780269	0.77012712	3.317348788	0.000908761	0.010344796
Gm11639	14.64253667	2.535193351	0.715336846	3.544055317	0.000394023	0.005186756
Col11a1	9.431860617	2.512446897	0.90846511	2.765595364	0.005681899	0.043675784
Gm9573	8.533520244	2.510136341	0.850467882	2.951476939	0.003162582	0.02809073
Flnc	43.48469349	2.508266264	0.361652587	6.935568433	4.05E-12	2.22E-10
Slc9b2	14.81545013	2.489627219	0.647214832	3.846678254	0.00011973	0.001926733
Adcy6	9.401751112	2.488670856	0.816498241	3.047980669	0.002303847	0.021786075
Plxna4	14.52952471	2.460859041	0.747311197	3.292950847	0.000991418	0.011077488
Dact3	8.245373806	2.436451198	0.849594358	2.867781754	0.004133606	0.034209765
Akap12	11.88335159	2.401769703	0.72114252	3.330506295	0.000866882	0.009998187
Mcemp1	11.81595968	2.380226848	0.67630018	3.519482793	0.000432389	0.005604983
Fcgbp	12.5582876	2.373677849	0.693748613	3.42152446	0.000622711	0.007644929
Zfp704	11.21562105	2.370181455	0.829051957	2.858905808	0.00425105	0.034885804
Il17rb	9.283360915	2.351397027	0.851424964	2.761719619	0.005749783	0.044097886
Ret	9.512795976	2.346874131	0.804621041	2.916744668	0.003537052	0.030478442
Hpgd	46.70939075	2.345569256	0.366417264	6.401361206	1.54E-10	7.35E-09
Tfr2	11.6574392	2.337115649	0.730532502	3.199194619	0.001378121	0.014493186
Pdgfa	188.5020454	2.322681116	0.171263403	13.56203999	6.72E-42	1.76E-39
Acp5	20.8509222	2.316750655	0.524615082	4.416096171	1.00E-05	0.000215523
Gucy2g	20.47931505	2.316096844	0.50682034	4.56985772	4.88E-06	0.000112675
Fgfr1	11.56919689	2.303502083	0.739278791	3.115877406	0.001833985	0.018203305
Muc16	18.87523757	2.29932213	0.585407988	3.927725921	8.58E-05	0.001455764
Itgax	19.43317114	2.297635648	0.512798695	4.480580137	7.44E-06	0.000164058
