	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610009B22Rik	103.1027186	0.321613125	0.214209389	1.50139602	0.133253163	0.357155003
0610010F05Rik	364.9511101	0.209273294	0.109635385	1.908811592	0.056286401	0.21242922
0610010K14Rik	239.4962129	0.120044592	0.121965917	0.984247028	0.324994068	0.579576306
0610012G03Rik	167.0170207	-0.059396438	0.158073834	-0.375751233	0.707101846	0.856362049
0610030E20Rik	339.4834111	0.021107978	0.10866505	0.194248088	0.845981631	0.931086884
0610037L13Rik	139.7227167	0.125049779	0.172311125	0.725720868	0.468009906	0.702040674
1110004F10Rik	867.6816494	-0.017936434	0.077391656	-0.231761852	0.816722988	0.916417246
1110008L16Rik	175.6355189	0.173883906	0.149747338	1.161181949	0.245567914	0.503919204
1110008P14Rik	89.42235566	0.113259464	0.203917976	0.555416773	0.578609623	0.778232804
1110012L19Rik	34.44589367	0.109545686	0.345179994	0.317358154	0.750971855	0.881441038
1110032A03Rik	17.56237916	1.291421767	0.512710698	2.518811818	0.011775157	0.075032139
1110038F14Rik	117.3255361	-0.179476053	0.197296693	-0.909675936	0.362993439	0.615476678
1110051M20Rik	47.30694249	-0.056130429	0.299681733	-0.187300134	0.851425318	0.933754621
1110059E24Rik	200.2521093	-0.084422178	0.144809162	-0.582989203	0.559900569	0.76450908
1110059G10Rik	98.40875595	-0.005438355	0.191810317	-0.028352777	0.977380788	0.990889617
1110065P20Rik	23.72893972	-0.591191472	0.430034019	-1.374755126	0.169207375	0.408900281
1190002N15Rik	299.3934559	0.210472113	0.116361338	1.808780449	0.070485119	0.244753995
1190007I07Rik	39.7309434	-0.203188534	0.308418953	-0.658806899	0.510019777	0.73160418
1300017J02Rik	8.564938344	0.793121272	0.898253187	0.882959597	0.377258102	0.629751493
1500011B03Rik	77.18126102	-0.123321161	0.244278443	-0.504838494	0.613672277	0.801220895
1520401A03Rik	8.352920036	2.262118665	0.856797614	2.640201873	0.008285666	0.058377451
1600002K03Rik	39.79558963	-0.158488233	0.303687076	-0.521880073	0.601753834	0.794277677
1600012H06Rik	152.9656536	0.307174965	0.172135646	1.784493633	0.074343488	0.252163322
1600014C10Rik	214.7842425	-0.403387951	0.139562047	-2.890384316	0.003847711	0.032457306
1700001K19Rik	4.54123753	0.492569957	1.062380189	0.463647536	0.642900291	0.818927694
1700003F12Rik	4.819233277	0.686165341	1.29832673	0.528499741	0.597152527	0.791285552
1700010I14Rik	9.942557878	1.660984252	0.828940121	2.003744553	0.045097431	0.184709298
1700014D04Rik	4.19627977	0.10040011	1.420678069	0.070670556	0.943659955	0.977250576
1700017B05Rik	1082.313929	-0.200734245	0.07193222	-2.790602693	0.005261001	0.041249406
1700021F05Rik	119.5125547	0.105859992	0.195091421	0.54261736	0.587393283	0.784938976
1700022I11Rik	5.797533155	1.086439314	1.112148293	0.976883497	0.328626833	0.583041027
1700025G04Rik	396.1994381	-0.016983459	0.101698476	-0.166998162	0.867371495	0.93868027
1700028J19Rik	7.568202704	0.697272083	0.800687026	0.87084224	0.383840298	0.634109664
1700029J07Rik	9.150673111	0.596379123	0.756923374	0.787898938	0.430755822	0.672647872
1700030J22Rik	7.885732439	-0.271794564	0.792038061	-0.343158464	0.731479251	0.870865698
1700030K09Rik	89.12934273	0.092047305	0.227841592	0.403996936	0.686214972	0.84485914
1700034J05Rik	6.271402079	-0.356436823	0.921551976	-0.38677886	0.698919929	0.852063223
1700037C18Rik	28.88001535	0.170457075	0.419806404	0.406037338	0.684715166	0.843834531
1700037H04Rik	201.7169069	-0.078502008	0.142774238	-0.549833142	0.582433825	0.781289844
1700047I17Rik2	13.43677303	0.177569755	0.609330888	0.291417616	0.770731943	0.891040041
1700061G19Rik	9.667908899	-0.173865362	0.689278859	-0.252242411	0.800853698	0.907727647
1700066B19Rik	8.470425901	1.317370102	0.83652342	1.574815565	0.115299023	0.328686815
1700066M21Rik	85.24776438	0.546575179	0.205035156	2.665763232	0.007681377	0.055294529
1700067K01Rik	8.124569548	1.161265504	0.778771255	1.491150958	0.135921866	0.360639924
