GeneID	Length	MR1_expression	MR2_expression	KLA1_expression	KLA2_expression	logFC	Pvalue	FDR
Fam107a	3151	5.83	1.94	0.11	0.02	-5.937541118	3.23E-19	6.30E-15
Kansl2-ps	1461	0	6.99	0	0	-9.557376247	7.95E-18	7.74E-14
Ptges3-ps	480	0	27.61	0	0	-9.201810199	4.95E-16	3.21E-12
MSTRG.13369	286	0	98.94	0	0	-9.14626363	9.97E-16	4.86E-12
Gm16567	576	0	0	4.23	8.45	8.603770364	3.11E-13	1.21E-09
Gm10241	286	45.26	18.94	0	0	-8.346132986	5.61E-12	1.82E-08
Gm10182	273	0	61.53	0	0	-8.227332273	2.11E-11	5.57E-08
Gm42713	945	5.09	0	0	0	-8.206493525	2.57E-11	5.57E-08
Gm43601	945	5.09	0	0	0	-8.206493525	2.57E-11	5.57E-08
Arl4d	1382	32.86	13.77	1.84	2.55	-3.329389409	1.07E-10	2.08E-07
MSTRG.30222	2157.1	0.06	0.47	5.72	0.1	3.641644857	5.49E-10	9.73E-07
MSTRG.21846	1319	0.61	1.78	0.04	0	-5.607062651	1.28E-08	2.08E-05
Rcan2	2347.08	1.7	3.31	0.12	0.59	-3.072088071	4.20E-08	6.29E-05
Gm6565	438	9.92	0	0	0	-7.35618898	5.20E-08	7.24E-05
Gm21887	449.91	0.23	9.26	0.18	0.45	-4.002180987	1.38E-07	0.000178901
Gm20547	2916	1.52	0.47	0.21	0	-3.3036688	1.89E-07	0.000230172
9330159F19Rik	4597.73	1.25	0.16	0.15	0.02	-3.19057695	5.79E-07	0.0006642
Gm18588	492	0	5.76	0	0	-7.028119457	8.52E-07	0.000790243
Gm20458	1369	0	1.3	0	0	-7.028119457	8.52E-07	0.000790243
Gm7645	788	0.71	1.92	0	0	-6.982326578	8.52E-07	0.000790243
Gm2436	774	0	0	2.79	0	6.940326182	8.52E-07	0.000790243
Sult1a1	1300.26	11.88	9.71	3.04	0.71	-2.512359413	8.94E-07	0.000791868
Gm37371	392	9.78	0	0	0	-6.94307979	1.19E-06	0.001010136
Fras1	1273	0.01	0.01	0.05	0.13	3.676837816	1.36E-06	0.001105915
Gm45774	2665	13.78	3.51	1.93	1.27	-2.388349126	1.44E-06	0.001125775
Ctgf	2375.71	65.07	63.34	14.3	10.98	-2.319889629	1.57E-06	0.001174915
Pnma5	2287	0.21	0.19	1.65	0.18	3.08539303	2.84E-06	0.002053004
Gm28037	611	3.67	0	0	0	-6.832708686	3.39E-06	0.002314002
Aldh1a7	2066	0.97	1.88	0.23	0.18	-2.767875	3.44E-06	0.002314002
Ret	4859.49	0.1	1.13	0.15	0.06	-2.627560888	3.89E-06	0.002524123
Gm8979	7296	0	0	0.17	0	6.650866426	7.03E-06	0.004149335
Gm42605	385	0	0	7.84	0	6.596478163	7.03E-06	0.004149335
Gm44267	385	0	0	7.84	0	6.596478163	7.03E-06	0.004149335
Gm29253	5231	0	0	0.17	0.05	6.580389644	1.02E-05	0.005857885
Fmo3	2028.55	5.33	2.76	1.52	0.17	-2.246894032	1.32E-05	0.007335297
Gm13502	684	0	2.37	0	0	-6.567811782	1.50E-05	0.007886606
Gm18853	3596	0	0	0	0.29	6.536594827	1.50E-05	0.007886606
Gm45713	1477	0	2.14	0	0.23	-3.00666398	1.64E-05	0.008436512
MSTRG.19822	746	4.8	5.28	1.08	0.73	-2.439202096	2.08E-05	0.010385145
Trbv15	370	0	0	0	6.67	6.481124204	2.21E-05	0.010768972
Slc10a6	2124	0.79	0.94	0.05	0.2	-2.67061428	2.39E-05	0.011270757
Gm45819	1751	3.44	1.9	0.51	0.54	-2.269498642	2.43E-05	0.011270757
Gm2274	609	3.73	0	0	0.08	-4.632135345	3.07E-05	0.013604003
Ces2g	2490	0.02	0	0.14	0.31	4.297830679	3.07E-05	0.013604003
Gm49378	3275	1.04	1.01	0.27	0.13	-2.322673305	3.54E-05	0.01534401
Tent5b	2287	5.19	5.17	0.87	1.5	-2.061845548	3.66E-05	0.015525558
F3	1765.76	24.83	14.67	7.88	2.7	-1.972261455	4.43E-05	0.018370535
MSTRG.31886	1655	3.2	2.03	0.55	0.53	-2.223057053	4.67E-05	0.018487072
Gm19918	400	5.99	0	0	0	-6.362494178	4.93E-05	0.018487072
Prn	3370	0.31	0	0	0	-6.362494178	4.93E-05	0.018487072
Gm26695	1251	0	0	0.67	0.27	6.338339123	4.93E-05	0.018487072
Gm48113	1039	0	0	1.18	0	6.28907984	4.93E-05	0.018487072
Rps13-ps2	453	49.39	0	11.13	0	-2.143027507	5.11E-05	0.018779652
Tsc22d3	2027.41	223.89	145.02	46.35	49.46	-1.905603195	6.09E-05	0.021977154
Gm48128	3846	0.59	0.57	0.06	0.15	-2.314267421	7.31E-05	0.0258964
Gm43798	394	0	5.7	0	0	-6.348506003	7.46E-05	0.025969935
Gm17711	237	10.81	5.16	46.21	48.55	2.642668312	7.62E-05	0.026053016
Gm6161	1102	0.24	0.76	0	0	-6.270480385	0.000113897	0.037622814
MSTRG.745	243	0	25.18	0	0	-6.267289256	0.000113897	0.037622814
Hoxb3os	2315	0	0.38	0	0	-6.18121195	0.000175464	0.056993479
Gm44170	549	10.84	0	19.27	18.75	1.91817043	0.000178878	0.057150191
Gm8534	766	0	0.38	3.54	0	3.010356921	0.000197582	0.061121895
AC154912.3	3612	0.44	0.1	0.04	0.03	-2.769873887	0.000197582	0.061121895
Igkv6-23	369	0.83	0	9.08	1.33	3.564422497	0.000210936	0.06423321
Spsb1	3059.48	29.06	29.02	8.48	7.89	-1.743731513	0.000238382	0.071474386
Ddit4	1755	44.71	44.08	14.55	11.52	-1.740598723	0.000251057	0.07323967
MSTRG.15837	534	1.12	2.22	0.15	0	-4.224345303	0.000259302	0.07323967
Casq1	1256.74	0.03	0	0.12	0.99	3.969859669	0.000259302	0.07323967
Aox4	4973	0.02	0	0	0.19	3.965037085	0.000259302	0.07323967
Gm5300	1003	0.51	0.54	0	0	-6.095556016	0.000272943	0.074921005
Igkv6-15	347	0	0	6.36	0.32	5.98289239	0.000272943	0.074921005
Gm14122	973	0.98	0.69	0	0.15	-3.150650139	0.000284623	0.077041983
Gm26587	989	2.24	1.01	0.6	0	-2.440848579	0.000328572	0.087389874
Igkv1-110	401	1.69	0.3	5.2	6.36	2.62898474	0.000331821	0.087389874
Rtl1	6358	0.49	0.1	0.08	0.04	-2.176158587	0.000359824	0.09350134
Gm43198	326	0	9.87	0	0.55	-4.224808815	0.000378171	0.096976046
Peg3	8136.63	0.32	0.78	0.2	0.1	-1.845866199	0.000397867	0.100701659
Gm29542	704	0	0	1.21	0.29	5.887148213	0.000428911	0.107167225
Dlgap2	3290.99	0.6	0.38	0.09	0.09	-2.247714928	0.00044929	0.110838174
Map3k6	2740.49	12.99	12.22	6.27	3.98	-1.66347835	0.000485981	0.118391024
Gm15270	626.25	1.05	1.5	0.1	0.28	-2.638105932	0.000530589	0.127662321
Akap12	5917	1.22	3.53	0.82	0.67	-1.685497753	0.00054311	0.12908137
Foxred2	3279.69	9.46	7.19	2.61	2.34	-1.653735133	0.000564246	0.132488958
Itga11	4969	0.14	0.16	0.04	0.01	-2.677367324	0.0006078	0.141016826
Gm6093	2094.13	0.92	0.91	0.18	0.21	-2.089825004	0.000620276	0.142218376
Dnajb13	1918.36	0.66	0.24	0.1	0.06	-2.399874353	0.000673206	0.142922049
Olfr543	1429.55	0.43	0.17	0	0	-5.894998364	0.000681211	0.142922049
Gm15929	1161	0.43	0.32	0	0	-5.893209867	0.000681211	0.142922049
Gm44775	1456	0	0	0.18	0.34	5.86657814	0.000681211	0.142922049
Pakap	7576	0	0	0	0.08	5.85190449	0.000681211	0.142922049
Gm13203	520	0	0	0.96	1.17	5.779356665	0.000681211	0.142922049
Gm15286	682	0	0	0.42	0.98	5.773317837	0.000681211	0.142922049
2410018L13Rik	1701.71	0.27	0.29	0.06	0.02	-2.579238904	0.000683473	0.142922049
Ace	4353.33	1.37	3.39	1.03	0.66	-1.665691285	0.000689346	0.142922049
Gm10240	483	53.03	70.08	299.87	72.86	1.593759606	0.000788741	0.15747532
Gm13370	483	53.03	70.08	299.87	72.86	1.593759606	0.000788741	0.15747532
Ighg2b	1114	1.08	1.03	5.93	1.82	1.82315779	0.000791206	0.15747532
Gm6158	904	2.57	0.5	3.76	6.32	1.799344201	0.000791861	0.15747532
Kank4os	2251	0	0.03	0.18	0.22	3.730228432	0.000820847	0.160755415
Gm10335	468	1.81	1.49	8.19	5.52	2.030685105	0.000824852	0.160755415
MSTRG.14533	1158	0.06	0.44	0.7	1.62	2.225291045	0.000879111	0.168641964
Gm34552	636	0.42	0.13	2.17	1.48	2.747390029	0.000882625	0.168641964
Lims2	1870	1.39	2.91	11.88	0.73	-1.749694867	0.000903615	0.170976231
Gm47357	2705	2.42	1.05	0.63	0.39	-1.726409565	0.000936253	0.174084164
Dhrs9	4281	6.58	12.42	3.06	3.24	-1.572008386	0.000937905	0.174084164
Gm43352	3065	0.08	0.05	0.49	0.2	2.34315486	0.001018455	0.185501648
Gm38227	1602	0.37	1.04	0.07	0.19	-2.326082421	0.001018455	0.185501648
MSTRG.8480	2010	3.25	1.79	0.98	0.55	-1.691753508	0.00103333	0.185905643
Cabp4	1431	0.51	0.51	1.88	1.78	1.874718743	0.001039751	0.185905643
Mup10	927	0	0.89	0	0	-5.773776454	0.001094067	0.186848558
Gm10131	736	0	0	0	1.13	5.761250976	0.001094067	0.186848558
Rps10-ps2	496	0	0	0	2.02	5.664449876	0.001094067	0.186848558
